"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,3960,40,0
1,,3825,175,0
2,,3825,175,0
3,,3825,175,0
4,,3825,175,0
5,,3825,175,0
6,,3245,755,0
7,,1691,2309,0
8,,1691,2309,0
9,,210,3790,0
10,,210,3790,0
11,,210,3790,0
12,,210,3790,0
13,,210,3790,0
14,,210,3790,0
15,,210,3790,0
16,,210,3615,175
17,,8,3817,175
18,,8,3817,175
19,,8,3817,175
20,,0,3825,175
21,,0,3245,755
22,,0,1691,2309
23,,175,1691,2134
24,,175,210,3615
25,,175,210,3615
26,,136,249,3615
27,,136,249,3615
28,,685,280,3035
29,,2239,280,1481
30,,2239,280,1481
31,,3221,779,0
32,,1650,2148,202
33,,211,3587,202
34,,211,3587,202
35,,10,3780,210
36,,2,3788,210
37,,0,3790,210
38,,0,3790,210
39,,202,3790,8
40,,202,3790,8
41,,11,3942,47
42,,19,3942,39
43,,0,3930,70
44,,0,3930,70
45,,0,3930,70
46,,0,3431,569
47,,0,1860,2140
48,,39,421,3540
49,,23,437,3540
50,,45,245,3710
51,,38,244,3718
52,,31,249,3720
53,,530,249,3221
54,,1989,361,1650
55,,2870,919,211
56,,1271,2327,402
57,,1472,2327,201
58,,197,3591,212
59,,199,3591,210
60,,199,3591,210
61,,12,3778,210
62,,0,3790,210
63,,191,3790,19
64,,191,3774,35
65,,210,3765,25
66,,210,3758,32
67,,1,3960,39
68,,1,3960,39
69,,1,3848,151
70,,1,3290,709
71,,16,1692,2292
72,,25,1692,2283
73,,11,430,3559
74,,15,433,3552
75,,15,433,3552
76,,123,250,3627
77,,660,259,3081
78,,2259,259,1482
79,,2259,259,1482
80,,3039,762,199
81,,1507,2294,199
82,,214,3378,408
83,,199,3580,221
84,,24,3767,209
85,,24,3767,209
86,,24,3766,210
87,,24,3766,210
88,,24,3745,231
89,,233,3742,25
90,,4,3971,25
91,,4,3967,29
92,,4,3946,50
93,,1,3950,49
94,,0,3951,49
95,,21,3448,531
96,,4,1936,2060
97,,0,647,3353
98,,4,445,3551
99,,25,258,3717
100,,25,258,3717
101,,25,258,3717
102,,528,258,3214
103,,2060,258,1682
104,,3353,258,389
105,,2821,763,416
106,,3008,763,229
107,,3008,763,229
108,,3008,759,233
109,,3008,758,234
110,,1464,2302,234
111,,1464,2282,254
112,,1693,2278,29
113,,197,3774,29
114,,197,3774,29
115,,201,3774,25
116,,202,3774,24
117,,202,3774,24
118,,222,3774,4
119,,10,3990,0
120,,0,3266,734
121,,0,3266,734
122,,0,3266,734
123,,0,3266,734
124,,0,3266,734
125,,0,1722,2278
126,,0,1722,2278
127,,734,1722,1544
128,,734,226,3040
129,,734,226,3040
130,,586,374,3040
131,,407,553,3040
132,,1951,553,1496
133,,1175,1329,1496
134,,1175,1113,1712
135,,1926,1848,226
136,,357,3417,226
137,,357,3417,226
138,,357,3417,226
139,,357,3417,226
140,,18,3756,226
141,,234,3756,10
142,,23,3977,0
143,,23,3977,0
144,,23,3977,0
145,,23,3829,148
146,,23,3650,327
147,,23,3650,327
148,,1,2896,1103
149,,1,2896,1103
150,,1,2151,1848
151,,0,583,3417
152,,148,583,3269
153,,279,631,3090
154,,159,751,3090
155,,935,412,2653
156,,935,412,2653
157,,1680,191,2129
158,,2988,452,560
159,,2988,452,560
160,,2988,452,560
161,,1935,1505,560
162,,2274,1505,221
163,,581,3176,243
164,,802,3176,22
165,,802,3176,22
166,,802,3175,23
167,,802,3175,23
168,,802,3127,71
169,,802,3007,191
170,,73,3758,169
171,,2,3829,169
172,,2,3829,169
173,,3,3568,429
174,,3,3568,429
175,,51,3568,381
176,,122,2564,1314
177,,7,2679,1314
178,,7,986,3007
179,,7,986,3007
180,,262,992,2746
181,,262,992,2746
182,,101,1153,2746
183,,1083,1224,1693
184,,1083,1224,1693
185,,2011,1238,751
186,,2011,1167,822
187,,2011,1167,822
188,,2011,1167,822
189,,678,2500,822
190,,55,3123,822
191,,55,3074,871
192,,754,3011,235
193,,825,3011,164
194,,825,3011,164
195,,58,3772,170
196,,58,3772,170
197,,1,3668,331
198,,50,3597,353
199,,165,3597,238
200,,10,2987,1003
201,,10,2987,1003
202,,7,2996,997
203,,7,2996,997
204,,161,1670,2169
205,,103,1176,2721
206,,103,1176,2721
207,,868,1124,2008
208,,296,1696,2008
209,,296,1696,2008
210,,296,929,2775
211,,1629,929,1442
212,,1348,1776,876
213,,266,2858,876
214,,318,2858,824
215,,13,3008,979
216,,0,3021,979
217,,767,3012,221
218,,767,3012,221
219,,101,3728,171
220,,101,3599,300
221,,101,3599,300
222,,256,3599,145
223,,256,3027,717
224,,21,3271,708
225,,21,3271,708
226,,8,3291,701
227,,137,2387,1476
228,,9,1433,2558
229,,2,1440,2558
230,,574,1135,2291
231,,574,1122,2304
232,,574,1122,2304
233,,214,1482,2304
234,,953,924,2123
235,,1467,1492,1041
236,,1467,1492,1041
237,,678,2586,736
238,,691,2586,723
239,,51,2982,967
240,,4,3029,967
241,,723,3013,264
242,,41,3695,264
243,,1,3607,392
244,,1,3600,399
245,,1,3600,399
246,,245,3600,155
247,,245,3600,155
248,,265,3240,495
249,,17,3323,660
250,,129,2771,1100
251,,136,2771,1093
252,,136,1677,2187
253,,136,1677,2187
254,,19,1154,2827
255,,379,1107,2514
256,,544,1103,2353
257,,756,777,2467
258,,756,737,2507
259,,1850,737,1413
260,,1850,737,1413
261,,2490,737,773
262,,2537,737,726
263,,2541,737,722
264,,3223,489,288
265,,3263,473,264
266,,3263,473,264
267,,2125,1611,264
268,,451,3285,264
269,,23,3596,381
270,,1,3618,381
271,,249,3618,133
272,,30,3497,473
273,,30,3497,473
274,,30,3497,473
275,,30,3497,473
276,,118,3526,356
277,,118,3526,356
278,,118,3526,356
279,,474,3526,0
280,,474,3526,0
281,,23,3977,0
282,,23,2839,1138
283,,23,1165,2812
284,,3,757,3240
285,,3,735,3262
286,,2,736,3262
287,,1,502,3497
288,,1,502,3497
289,,1139,502,2359
290,,2813,502,685
291,,3241,473,286
292,,3263,473,264
293,,2111,1625,264
294,,2346,1625,29
295,,2346,1625,29
296,,2346,1174,480
297,,2346,1174,480
298,,2375,1174,451
299,,2375,1154,471
300,,781,2748,471
301,,67,3461,472
302,,2,3525,473
303,,453,3525,22
304,,17,3961,22
305,,17,3961,22
306,,37,3961,2
307,,37,3961,2
308,,38,2809,1153
309,,4,2844,1152
310,,0,2848,1152
311,,0,2848,1152
312,,0,2848,1152
313,,0,2848,1152
314,,0,2848,1152
315,,1152,1254,1594
316,,1152,540,2308
317,,708,919,2373
318,,295,1332,2373
319,,295,896,2809
320,,124,1067,2809
321,,124,1067,2809
322,,1644,1141,1215
323,,2358,1141,501
324,,843,2686,471
325,,843,2682,475
326,,1279,2682,39
327,,124,3837,39
328,,2,3959,39
329,,2,3959,39
330,,2,3959,39
331,,37,3959,4
332,,41,3515,444
333,,41,3102,857
334,,41,3102,857
335,,3,2969,1028
336,,3,2969,1028
337,,3,2895,1102
338,,0,2898,1102
339,,444,1318,2238
340,,857,1318,1825
341,,857,1318,1825
342,,438,753,2809
343,,438,631,2931
344,,325,818,2857
345,,146,997,2857
346,,1652,1071,1277
347,,1652,1071,1277
348,,1652,1071,1277
349,,2807,1071,122
350,,2929,1033,38
351,,2929,1033,38
352,,1208,2754,38
353,,113,3846,41
354,,5,3954,41
355,,5,3954,41
356,,5,3954,41
357,,43,3364,593
358,,43,3364,593
359,,1,3219,780
360,,4,3040,956
361,,0,2970,1030
362,,0,2970,1030
363,,0,2970,1030
364,,590,2970,440
365,,40,3520,440
366,,191,3556,253
367,,370,1835,1795
368,,135,1049,2816
369,,58,1018,2924
370,,26,1050,2924
371,,26,1050,2924
372,,9,1067,2924
373,,4,1072,2924
374,,1725,1030,1245
375,,1835,2015,150
376,,1943,2011,46
