"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,980,20,0
1,,967,33,0
2,,953,47,0
3,,927,73,0
4,,911,89,0
5,,860,140,0
6,,849,151,0
7,,794,206,0
8,,755,212,33
9,,666,287,47
10,,575,352,73
11,,499,412,89
12,,446,414,140
13,,388,461,151
14,,315,479,206
15,,271,484,245
16,,235,431,334
17,,204,371,425
18,,182,317,501
19,,165,281,554
20,,157,231,612
21,,137,178,685
22,,165,139,696
23,,175,107,718
24,,194,83,723
25,,204,67,729
26,,254,51,695
27,,264,44,692
28,,316,27,657
29,,351,26,623
30,,438,24,538
31,,524,22,454
32,,600,16,384
33,,653,15,332
34,,707,18,275
35,,773,22,205
36,,798,37,165
37,,834,35,131
38,,854,41,105
39,,870,47,83
40,,866,68,66
41,,827,111,62
42,,821,130,49
43,,808,129,63
44,,762,179,59
45,,746,191,63
46,,703,234,63
47,,648,269,83
48,,561,310,129
49,,475,373,152
50,,423,411,166
51,,357,429,214
52,,295,473,232
53,,256,463,281
54,,206,457,337
55,,179,400,421
56,,154,343,503
57,,156,304,540
58,,146,246,608
59,,148,188,664
60,,151,152,697
61,,165,109,726
62,,204,86,710
63,,225,59,716
64,,238,47,715
65,,285,40,675
66,,305,34,661
67,,354,31,615
68,,408,26,566
69,,496,18,486
70,,575,23,402
71,,624,25,351
72,,692,22,286
73,,753,25,222
74,,788,29,183
75,,825,40,135
76,,851,45,104
77,,870,48,82
78,,877,51,72
79,,881,57,62
80,,890,51,59
81,,883,57,60
82,,881,53,66
83,,875,62,63
84,,848,81,71
85,,834,90,76
86,,818,103,79
87,,804,120,76
88,,788,126,86
89,,771,136,93
90,,726,167,107
91,,691,180,129
92,,636,223,141
93,,597,243,160
94,,538,291,171
95,,487,330,183
96,,440,371,189
97,,366,405,229
98,,306,433,261
99,,280,407,313
100,,259,395,346
101,,235,354,411
102,,213,331,456
103,,186,307,507
104,,187,241,572
105,,199,188,613
106,,196,174,630
107,,192,170,638
108,,203,152,645
109,,214,125,661
110,,227,95,678
111,,265,89,646
112,,298,81,621
113,,353,66,581
114,,380,55,565
115,,427,67,506
116,,470,74,456
117,,526,72,402
118,,600,70,330
119,,658,73,269
120,,693,67,240
121,,714,61,225
122,,706,75,219
123,,733,68,199
124,,761,72,167
125,,761,80,159
126,,767,79,154
127,,779,88,133
128,,800,84,116
129,,759,99,142
130,,752,106,142
131,,731,125,144
132,,676,174,150
133,,622,226,152
134,,585,260,155
135,,532,323,145
136,,502,324,174
137,,463,363,174
138,,398,405,197
139,,349,397,254
140,,298,397,305
141,,256,396,348
142,,215,378,407
143,,199,378,423
144,,174,357,469
145,,159,311,530
146,,157,272,571
147,,156,221,623
148,,148,196,656
149,,140,159,701
150,,177,121,702
151,,184,96,720
152,,206,78,716
153,,260,71,669
154,,323,59,618
155,,367,41,592
156,,430,33,537
157,,474,27,499
158,,525,22,453
159,,594,17,389
160,,648,9,343
161,,711,9,280
162,,744,19,237
163,,776,32,192
164,,824,28,148
165,,850,32,118
166,,860,45,95
167,,862,58,80
168,,866,66,68
169,,871,69,60
170,,866,69,65
171,,862,83,55
172,,834,112,54
173,,819,119,62
174,,767,166,67
175,,724,201,75
176,,662,250,88
177,,611,288,101
178,,554,335,111
179,,476,380,144
180,,410,426,164
181,,355,421,224
182,,303,430,267
183,,271,410,319
184,,257,386,357
185,,236,346,418
186,,205,303,492
187,,198,257,545
188,,189,224,587
189,,193,176,631
190,,190,150,660
191,,193,133,674
192,,203,116,681
193,,232,85,683
194,,249,68,683
195,,303,52,645
196,,345,49,606
197,,402,38,560
198,,453,28,519
199,,514,24,462
200,,584,28,388
201,,638,37,325
202,,685,39,276
203,,720,55,225
204,,753,59,188
205,,770,69,161
206,,783,77,140
207,,785,102,113
208,,798,97,105
209,,777,132,91
210,,742,154,104
211,,715,188,97
212,,697,206,97
213,,614,285,101
214,,580,290,130
215,,494,372,134
216,,421,408,171
217,,356,435,209
218,,313,440,247
219,,275,450,275
220,,215,423,362
221,,200,408,392
222,,189,342,469
223,,166,294,540
224,,168,243,589
225,,171,201,628
226,,167,177,656
227,,162,130,708
228,,189,113,698
229,,187,99,714
230,,227,71,702
231,,267,55,678
232,,306,53,641
233,,323,50,627
234,,407,40,553
235,,439,40,521
236,,525,34,441
237,,590,45,365
238,,651,51,298
239,,692,54,254
240,,720,53,227
241,,775,55,170
242,,780,67,153
243,,789,78,133
244,,800,84,116
245,,786,108,106
246,,765,128,107
247,,751,146,103
248,,739,166,95
249,,723,170,107
250,,684,204,112
251,,626,245,129
252,,545,296,159
253,,510,308,182
254,,479,322,199
255,,420,359,221
256,,396,367,237
257,,354,364,282
258,,318,353,329
259,,294,302,404
260,,273,291,436
261,,254,278,468
262,,224,251,525
263,,229,234,537
264,,219,213,568
265,,221,181,598
266,,231,171,598
267,,236,165,599
268,,246,154,600
269,,263,127,610
270,,261,138,601
271,,287,136,577
272,,327,139,534
273,,395,132,473
274,,425,119,456
275,,438,130,432
276,,493,129,378
277,,495,133,372
278,,507,144,349
279,,544,136,320
280,,562,135,303
281,,576,140,284
282,,571,145,284
283,,574,170,256
284,,552,177,271
285,,528,192,280
286,,514,211,275
287,,516,217,267
288,,509,232,259
289,,486,239,275
290,,467,234,299
291,,452,238,310
292,,448,216,336
293,,451,202,347
294,,434,214,352
295,,425,203,372
296,,419,197,384
297,,399,197,404
298,,391,194,415
299,,382,210,408
300,,354,233,413
301,,336,233,431
302,,331,234,435
303,,350,214,436
304,,355,214,431
305,,364,204,432
306,,371,203,426
307,,378,187,435
308,,378,175,447
309,,373,190,437
310,,402,187,411
311,,395,194,411
312,,416,186,398
313,,403,184,413
314,,388,192,420
315,,391,201,408
316,,374,202,424
317,,375,224,401
318,,366,226,408
