"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,980,20,0
1,,966,34,0
2,,949,51,0
3,,922,78,0
4,,922,78,0
5,,885,115,0
6,,844,156,0
7,,830,170,0
8,,802,164,34
9,,746,203,51
10,,686,236,78
11,,616,306,78
12,,578,307,115
13,,490,354,156
14,,385,445,170
15,,317,485,198
16,,256,490,254
17,,204,482,314
18,,178,438,384
19,,157,421,422
20,,143,347,510
21,,117,268,615
22,,142,209,649
23,,148,159,693
24,,162,120,718
25,,158,98,744
26,,190,82,728
27,,222,77,701
28,,234,53,713
29,,261,45,694
30,,305,46,649
31,,358,40,602
32,,413,51,536
33,,442,55,503
34,,523,53,424
35,,610,69,321
36,,668,78,254
37,,719,76,205
38,,739,101,160
39,,746,105,149
40,,732,131,137
41,,727,143,130
42,,712,166,122
43,,705,172,123
44,,673,205,122
45,,661,198,141
46,,622,222,156
47,,578,236,186
48,,521,283,196
49,,487,278,235
50,,456,294,250
51,,408,311,281
52,,361,340,299
53,,320,353,327
54,,305,328,367
55,,275,299,426
56,,269,287,444
57,,248,286,466
58,,233,251,516
59,,242,220,538
60,,238,187,575
61,,248,188,564
62,,255,163,582
63,,284,151,565
64,,293,127,580
65,,321,117,562
66,,328,112,560
67,,351,109,540
68,,378,106,516
69,,433,105,462
70,,451,111,438
71,,472,115,413
72,,503,129,368
73,,546,122,332
74,,594,110,296
75,,584,122,294
76,,612,120,268
77,,617,121,262
78,,622,136,242
79,,628,126,246
80,,637,129,234
81,,645,136,219
82,,625,147,228
83,,621,154,225
84,,604,164,232
85,,564,185,251
86,,551,194,255
87,,536,213,251
88,,525,229,246
89,,506,225,269
90,,489,237,274
91,,461,254,285
92,,441,238,321
93,,434,246,320
94,,422,236,342
95,,400,235,365
96,,390,238,372
97,,357,252,391
98,,334,248,418
99,,334,243,423
100,,301,259,440
101,,287,264,449
102,,272,264,464
103,,305,232,463
104,,286,225,489
105,,292,206,502
106,,320,199,481
107,,336,159,505
108,,356,144,500
109,,364,137,499
110,,397,133,470
111,,407,116,477
112,,437,109,454
113,,429,129,442
114,,446,136,418
115,,457,135,408
116,,466,133,401
117,,480,155,365
118,,507,152,341
119,,536,149,315
120,,536,136,328
121,,566,139,295
122,,578,143,279
123,,575,155,270
124,,566,146,288
125,,554,178,268
126,,555,187,258
127,,532,203,265
128,,489,236,275
129,,449,273,278
130,,438,274,288
131,,400,299,301
132,,387,283,330
133,,372,292,336
134,,370,291,339
135,,347,278,375
136,,310,274,416
137,,306,265,429
138,,315,240,445
139,,310,229,461
140,,304,217,479
141,,310,196,494
142,,306,180,514
143,,314,139,547
144,,315,146,539
145,,320,141,539
146,,361,127,512
147,,369,122,509
148,,405,108,487
149,,444,98,458
150,,475,112,413
151,,496,93,411
152,,534,85,381
153,,544,100,356
154,,555,106,339
155,,571,125,304
156,,590,132,278
157,,598,151,251
158,,570,191,239
159,,579,195,226
160,,555,218,227
161,,545,227,228
162,,510,257,233
163,,490,280,230
164,,444,293,263
165,,412,304,284
166,,365,355,280
167,,328,354,318
168,,284,383,333
169,,272,346,382
170,,272,316,412
171,,278,278,444
172,,265,240,495
173,,250,200,550
174,,251,177,572
175,,257,133,610
176,,271,126,603
177,,287,117,596
178,,320,109,571
179,,356,100,544
180,,348,97,555
181,,384,85,531
182,,404,80,516
183,,455,73,472
184,,497,70,433
185,,538,75,387
186,,585,75,340
187,,632,71,297
188,,656,82,262
189,,703,84,213
190,,702,99,199
191,,694,119,187
192,,681,135,184
193,,661,164,175
194,,647,185,168
195,,608,225,167
196,,591,245,164
197,,556,272,172
198,,506,305,189
