"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,980,20,0
1,,977,23,0
2,,976,24,0
3,,966,34,0
4,,958,42,0
5,,956,44,0
6,,928,72,0
7,,918,82,0
8,,908,69,23
9,,894,82,24
10,,889,77,34
11,,867,91,42
12,,854,102,44
13,,836,92,72
14,,823,95,82
15,,812,96,92
16,,801,93,106
17,,789,100,111
18,,770,97,133
19,,755,99,146
20,,727,109,164
21,,719,104,177
22,,724,111,165
23,,712,113,175
24,,710,113,177
25,,692,120,188
26,,676,123,201
27,,687,112,201
28,,681,120,199
29,,677,116,207
30,,667,127,206
31,,662,125,213
32,,654,129,217
33,,663,115,222
34,,667,112,221
35,,658,118,224
36,,655,118,227
37,,646,114,240
38,,644,118,238
39,,644,107,249
40,,650,112,238
41,,667,109,224
42,,662,100,238
43,,664,102,234
44,,668,91,241
45,,666,91,243
46,,680,84,236
47,,694,79,227
48,,702,77,221
49,,710,72,218
50,,711,69,220
51,,733,62,205
52,,727,64,209
53,,745,64,191
54,,735,74,191
55,,734,80,186
56,,737,91,172
57,,736,93,171
58,,747,100,153
59,,753,92,155
60,,753,99,148
61,,751,96,153
62,,734,109,157
63,,735,102,163
64,,746,92,162
65,,729,109,162
66,,729,115,156
67,,723,114,163
68,,720,110,170
69,,716,95,189
70,,717,90,193
71,,719,96,185
72,,716,75,209
73,,729,64,207
74,,711,76,213
75,,708,86,206
76,,715,81,204
77,,723,85,192
78,,721,91,188
79,,706,110,184
80,,696,125,179
81,,707,103,190
82,,698,106,196
83,,724,100,176
84,,725,100,175
85,,711,102,187
86,,727,88,185
87,,725,86,189
88,,730,91,179
89,,732,76,192
90,,733,86,181
91,,721,94,185
92,,732,75,193
93,,734,68,198
94,,734,55,211
95,,763,43,194
96,,780,38,182
97,,776,38,186
98,,775,31,194
99,,783,40,177
100,,792,52,156
101,,798,61,141
102,,798,68,134
103,,818,68,114
104,,802,74,124
105,,804,71,125
106,,802,83,115
107,,802,78,120
108,,812,72,116
109,,810,79,111
110,,809,85,106
111,,809,79,112
112,,822,76,102
113,,811,66,123
114,,808,62,130
115,,807,60,133
116,,793,60,147
117,,777,70,153
118,,780,67,153
119,,777,76,147
120,,770,81,149
121,,782,78,140
122,,774,94,132
123,,764,97,139
124,,759,86,155
125,,749,105,146
126,,747,101,152
127,,764,89,147
128,,762,98,140
129,,751,95,154
130,,753,90,157
131,,739,105,156
132,,727,101,172
133,,720,103,177
134,,722,108,170
135,,713,111,176
136,,703,108,189
137,,705,108,187
138,,717,92,191
139,,724,70,206
140,,729,67,204
141,,745,58,197
142,,731,60,209
143,,739,58,203
144,,748,54,198
145,,753,50,197
146,,776,53,171
147,,773,57,170
148,,770,64,166
149,,772,57,171
150,,789,45,166
151,,798,40,162
152,,814,44,142
153,,833,44,123
154,,843,33,124
155,,852,26,122
156,,867,16,117
157,,881,16,103
158,,890,16,94
159,,894,12,94
160,,896,7,97
161,,903,7,90
162,,899,11,90
163,,916,11,73
164,,928,11,61
165,,932,12,56
166,,927,17,56
167,,925,24,51
168,,935,25,40
169,,942,21,37
170,,949,24,27
171,,944,29,27
172,,938,34,28
173,,926,45,29
174,,926,43,31
175,,923,45,32
176,,913,55,32
177,,913,52,35
178,,902,58,40
179,,891,63,46
180,,887,51,62
181,,866,67,67
182,,853,77,70
183,,848,76,76
184,,833,91,76
185,,810,103,87
186,,792,111,97
187,,786,118,96
188,,783,107,110
189,,780,98,122
190,,761,108,131
191,,753,104,143
192,,749,90,161
193,,739,87,174
194,,737,94,169
195,,729,97,174
196,,728,97,175
197,,721,95,184
198,,712,93,195
199,,708,99,193
200,,712,90,198
201,,688,100,212
202,,699,97,204
203,,704,101,195
204,,692,105,203
205,,694,109,197
206,,701,110,189
207,,705,118,177
208,,714,92,194
209,,717,89,194
210,,717,85,198
211,,729,71,200
212,,732,66,202
213,,736,55,209
214,,754,38,208
215,,766,42,192
216,,772,42,186
217,,773,41,186
218,,790,34,176
219,,796,29,175
220,,811,24,165
221,,817,27,156
222,,835,31,134
223,,828,41,131
224,,839,35,126
225,,852,43,105
226,,846,59,95
227,,846,75,79
228,,860,75,65
229,,862,65,73
230,,860,57,83
231,,853,71,76
232,,843,80,77
233,,845,67,88
234,,846,55,99
235,,831,67,102
236,,827,77,96
237,,821,81,98
238,,820,74,106
239,,815,62,123
240,,797,77,126
241,,786,84,130
242,,775,83,142
243,,775,83,142
244,,777,85,138
245,,768,87,145
246,,762,96,142
247,,775,81,144
248,,777,84,139
249,,772,78,150
250,,762,78,160
251,,767,67,166
252,,773,66,161
253,,779,63,158
254,,771,71,158
255,,768,64,168
256,,769,70,161
257,,764,75,161
258,,771,77,152
259,,774,73,153
260,,764,77,159
261,,762,86,152
262,,751,101,148
263,,761,91,148
264,,753,94,153
265,,738,118,144
266,,728,133,139
267,,722,138,140
268,,719,124,157
269,,718,117,165
270,,717,122,161
271,,719,112,169
272,,707,98,195
273,,704,90,206
274,,703,82,215
275,,702,88,210
276,,703,79,218
