"time";"placeholder";"Susceptible";"Infected-infectious";"Recovered"
0;;980;20;0
1;;980;20;0
2;;980;20;0
3;;968;32;0
4;;934;66;0
5;;908;92;0
6;;867;133;0
7;;833;167;0
8;;791;189;20
9;;756;224;20
10;;650;318;32
11;;582;352;66
12;;489;419;92
13;;434;433;133
14;;401;432;167
15;;354;437;209
16;;304;452;244
17;;267;383;350
18;;223;359;418
19;;203;286;511
20;;182;252;566
21;;166;235;599
22;;171;203;626
23;;152;172;676
24;;159;140;701
25;;181;108;711
26;;202;93;705
27;;229;86;685
28;;254;79;667
29;;290;70;640
30;;316;60;624
31;;412;65;523
32;;462;71;467
33;;541;80;379
34;;589;73;338
35;;612;74;314
36;;644;83;273
37;;689;79;232
38;;707;88;205
39;;746;75;179
40;;742;85;173
41;;732;109;159
42;;733;114;153
43;;714;133;153
44;;686;175;139
45;;658;189;153
46;;589;265;146
47;;549;286;165
48;;510;308;182
49;;476;336;188
50;;424;360;216
51;;401;345;254
52;;367;356;277
53;;353;307;340
54;;329;300;371
55;;316;267;417
56;;292;258;450
57;;272;235;493
58;;242;238;520
59;;252;203;545
60;;235;193;572
61;;243;171;586
62;;262;163;575
63;;242;164;594
64;;269;136;595
65;;300;117;583
66;;322;119;559
67;;388;112;500
68;;427;102;471
69;;467;103;430
70;;494;84;422
71;;542;87;371
72;;559;86;355
73;;569;109;322
74;;593;102;305
75;;619;108;273
76;;627;107;266
77;;643;109;248
78;;648;129;223
79;;660;137;203
80;;651;121;228
81;;654;132;214
82;;635;155;210
83;;625;165;210
84;;639;168;193
85;;597;187;216
86;;578;199;223
87;;562;208;230
88;;534;232;234
89;;503;234;263
90;;467;261;272
91;;435;288;277
92;;382;302;316
93;;368;296;336
94;;370;301;329
95;;340;296;364
96;;316;295;389
97;;299;275;426
98;;285;259;456
99;;281;230;489
100;;286;219;495
101;;290;201;509
102;;299;173;528
103;;322;149;529
104;;325;139;536
105;;328;125;547
106;;349;119;532
107;;365;120;515
108;;384;114;502
109;;416;115;469
110;;450;106;444
111;;472;114;414
112;;507;109;384
113;;551;100;349
114;;568;93;339
115;;583;102;315
116;;617;95;288
117;;619;126;255
118;;625;122;253
119;;638;128;234
120;;645;136;219
121;;645;142;213
122;;631;153;216
123;;598;192;210
124;;570;198;232
125;;554;210;236
126;;530;233;237
127;;526;238;236
128;;519;246;235
129;;491;254;255
130;;458;255;287
131;;421;255;324
132;;415;253;332
133;;385;254;361
134;;359;267;374
135;;323;289;388
136;;308;285;407
137;;290;263;447
138;;311;236;453
139;;315;222;463
140;;320;193;487
141;;336;159;505
142;;337;128;535
143;;343;118;539
144;;372;110;518
145;;401;108;491
146;;423;102;475
147;;454;99;447
148;;479;95;426
149;;485;98;417
150;;501;96;403
151;;521;106;373
152;;530;126;344
153;;545;131;324
154;;541;167;292
155;;565;181;254
156;;582;192;226
157;;566;220;214
158;;559;225;216
159;;516;250;234
160;;478;289;233
161;;452;282;266
162;;414;310;276
163;;384;326;290
164;;372;312;316
165;;354;315;331
166;;322;302;376
167;;286;294;420
168;;237;314;449
169;;217;292;491
170;;215;267;518
171;;206;262;532
172;;219;241;540
173;;230;218;552
174;;236;181;583
175;;278;126;596
176;;286;112;602
177;;305;102;593
178;;344;82;574
179;;363;81;556
180;;413;67;520
181;;458;67;475
182;;487;73;440
183;;525;71;404
184;;544;87;369
185;;548;108;344
186;;561;117;322
187;;576;139;285
188;;603;149;248
189;;652;149;199
190;;642;175;183
191;;615;196;189
192;;622;188;190
193;;594;208;198
194;;556;238;206
195;;489;295;216
196;;440;338;222
197;;387;367;246
198;;363;354;283
199;;299;405;296
200;;260;415;325
201;;228;395;377
202;;199;357;444
203;;190;323;487
204;;177;281;542
205;;182;268;550
206;;192;215;593
207;;199;178;623
208;;215;152;633
209;;232;116;652
210;;229;110;661
211;;262;90;648
212;;305;73;622
213;;320;60;620
214;;337;70;593
215;;387;66;547
216;;458;69;473
217;;505;62;433
218;;568;61;371
219;;595;64;341
220;;661;64;275
221;;693;59;248
222;;722;60;218
223;;714;101;185
224;;711;117;172
225;;708;141;151
226;;696;167;137
227;;662;214;124
228;;611;260;129
229;;576;298;126
230;;510;320;170
231;;452;369;179
232;;386;412;202
233;;321;448;231
234;;268;454;278
235;;261;420;319
236;;247;395;358
237;;243;336;421
238;;223;291;486
239;;200;247;553
240;;197;188;615
241;;195;137;668
242;;204;116;680
243;;209;98;693
244;;249;95;656
245;;254;86;660
246;;267;74;659
247;;299;65;636
248;;351;58;591
249;;403;61;536
250;;445;62;493
251;;506;63;431
252;;570;53;377
253;;633;46;321
254;;683;64;253
255;;717;88;195
256;;725;98;177
257;;712;128;160
258;;700;142;158
259;;703;158;139
260;;660;220;120
261;;629;242;129
262;;612;242;146
263;;574;267;159
264;;494;316;190
265;;460;335;205
266;;422;367;211
267;;387;347;266
268;;355;339;306
269;;336;334;330
270;;324;311;365
271;;307;249;444
272;;281;242;477
273;;260;215;525
274;;244;189;567
275;;256;163;581
276;;274;150;576
277;;281;141;578
278;;306;129;565
279;;307;116;577
280;;310;108;582
281;;366;98;536
282;;393;105;502
283;;414;102;484
284;;446;102;452
285;;516;106;378
286;;542;100;358
287;;559;118;323
288;;576;137;287
289;;600;132;268
290;;566;182;252
291;;537;220;243
292;;509;256;235
293;;512;272;216
294;;477;297;226
295;;442;323;235
296;;394;369;237
297;;377;339;284
298;;328;350;322
299;;308;330;362
300;;282;346;372
301;;269;316;415
302;;237;303;460
303;;235;264;501
304;;217;262;521
305;;214;216;570
306;;209;205;586
307;;206;176;618
308;;238;149;613
309;;250;124;626
310;;250;117;633
311;;293;106;601
312;;338;96;566
313;;385;80;535
314;;402;76;522
315;;458;77;465
316;;498;75;427
317;;540;79;381
318;;544;88;368
319;;594;94;312
320;;596;119;285
321;;621;127;252
322;;637;137;226
323;;672;129;199
324;;670;134;196
325;;661;145;194
326;;640;170;190
327;;635;166;199
328;;626;171;203
329;;625;161;214
330;;613;183;204
331;;550;237;213
332;;503;264;233
333;;475;261;264
334;;432;283;285
335;;411;291;298
336;;375;327;298
337;;335;353;312
338;;291;338;371
339;;286;305;409
340;;267;302;431
341;;261;290;449
342;;275;263;462
343;;264;248;488
344;;254;210;536
345;;256;169;575
346;;272;159;569
347;;301;136;563
348;;313;114;573
349;;333;113;554
350;;331;94;575
351;;347;90;563
352;;401;92;507
353;;441;95;464
354;;467;95;438
355;;508;88;404
356;;534;90;376
357;;565;93;342
358;;601;99;300
359;;653;86;261
360;;679;67;254
361;;711;58;231
362;;727;71;202
363;;722;75;203
364;;737;76;187
365;;704;107;189
366;;699;123;178
367;;701;137;162
368;;675;172;153
369;;645;196;159
370;;624;211;165
371;;595;236;169
372;;567;227;206
373;;547;244;209
374;;527;269;204
375;;500;270;230
376;;452;281;267
377;;416;298;286
378;;391;297;312
379;;358;308;334
380;;329;304;367
381;;300;294;406
382;;260;298;442
383;;258;265;477
384;;257;234;509
385;;251;216;533
386;;271;194;535
387;;276;176;548
388;;280;157;563
389;;283;149;568
390;;314;140;546
391;;330;138;532
392;;357;130;513
393;;372;126;502
394;;397;123;480
395;;418;131;451
396;;416;137;447
397;;460;135;405
398;;495;133;372
399;;522;132;346
400;;559;121;320
401;;577;124;299
402;;594;118;288
403;;611;103;286
404;;615;110;275
405;;631;98;271
406;;629;109;262
407;;635;118;247
408;;635;118;247
409;;614;137;249
410;;624;136;240
411;;618;137;245
412;;614;155;231
413;;613;146;241
414;;631;130;239
415;;619;139;242
416;;588;157;255
417;;603;158;239
418;;594;159;247
419;;591;156;253
420;;581;164;255
421;;568;184;248
422;;554;189;257
423;;553;153;294
424;;552;154;294
425;;532;172;296
426;;490;199;311
427;;479;211;310
428;;469;217;314
429;;430;242;328
430;;415;275;310
431;;399;289;312
432;;385;284;331
433;;359;286;355
434;;338;287;375
435;;318;281;401
436;;312;257;431
437;;333;239;428
438;;332;225;443
439;;328;216;456
440;;321;194;485
441;;322;180;498
442;;326;176;498
443;;323;178;499
444;;325;161;514
445;;333;153;514
446;;354;146;500
447;;375;145;480
448;;379;154;467
449;;400;143;457
450;;447;118;435
451;;479;121;400
452;;507;115;378
453;;504;134;362
454;;539;122;339
455;;555;111;334
456;;564;117;319
457;;590;114;296
458;;593;125;282
459;;585;147;268
460;;564;156;280
461;;566;167;267
462;;572;163;265
463;;565;175;260
464;;576;192;232
465;;577;177;246
466;;567;171;262
467;;532;178;290
468;;524;187;289
469;;534;192;274
470;;511;197;292
471;;469;225;306
472;;435;263;302
473;;406;276;318
474;;410;256;334
475;;373;273;354
476;;342;303;355
477;;333;295;372
478;;301;282;417
479;;296;264;440
480;;295;258;447
481;;321;245;434
482;;323;217;460
483;;312;193;495
484;;327;181;492
485;;327;166;507
486;;328;145;527
487;;338;128;534
488;;368;131;501
489;;389;121;490
490;;384;120;496
491;;420;104;476
492;;436;116;448
493;;458;133;409
494;;477;137;386
495;;486;138;376
496;;502;160;338
497;;525;162;313
498;;542;173;285
499;;538;180;282
500;;519;203;278
501;;520;215;265
502;;517;214;269
503;;483;236;281
504;;461;257;282
505;;437;286;277
506;;413;291;296
507;;379;285;336
508;;364;284;352
509;;355;293;352
510;;321;283;396
511;;329;252;419
512;;296;245;459
513;;317;212;471
514;;328;184;488
515;;337;164;499
516;;325;168;507
517;;336;145;519
518;;341;150;509
519;;328;141;531
520;;365;132;503
521;;394;137;469
522;;401;151;448
523;;393;146;461
524;;432;140;428
525;;465;133;402
526;;485;129;386
527;;511;145;344
528;;530;149;321
529;;530;155;315
530;;531;155;314
531;;535;180;285
532;;508;209;283
533;;516;214;270
534;;484;239;277
535;;442;272;286
536;;413;281;306
537;;399;300;301
538;;386;294;320
539;;370;288;342
540;;358;299;343
541;;340;276;384
542;;340;239;421
543;;345;219;436
544;;327;218;455
545;;325;201;474
546;;321;182;497
547;;323;164;513
548;;321;164;515
549;;338;151;511
550;;354;146;500
551;;357;125;518
552;;382;123;495
553;;410;120;470
554;;414;123;463
555;;434;126;440
556;;458;152;390
557;;470;165;365
558;;462;195;343
559;;463;213;324
560;;464;234;302
561;;491;222;287
562;;487;223;290
563;;472;225;303
564;;461;228;311
565;;477;203;320
566;;446;218;336
567;;418;228;354
568;;409;246;345
569;;391;260;349
570;;344;279;377
571;;332;275;393
572;;314;288;398
573;;310;259;431
574;;286;252;462
575;;285;247;468
576;;286;231;483
577;;294;202;504
578;;301;196;503
579;;343;166;491
580;;347;176;477
581;;355;165;480
582;;344;163;493
583;;352;157;491
584;;381;138;481
585;;398;131;471
586;;402;144;454
587;;434;131;435
588;;469;114;417
589;;476;114;410
590;;493;119;388
591;;535;125;340
592;;537;136;327
593;;562;128;310
594;;564;129;307
595;;569;152;279
596;;546;177;277
597;;534;190;276
598;;539;198;263
599;;527;206;267
600;;503;225;272
601;;511;229;260
602;;486;248;266
603;;475;234;291
604;;460;231;309
605;;435;242;323
606;;417;241;342
607;;398;249;353
608;;375;267;358
609;;352;248;400
610;;348;241;411
611;;341;238;421
612;;337;223;440
613;;326;227;447
614;;324;202;474
615;;320;184;496
616;;319;185;496
617;;335;190;475
618;;359;172;469
619;;346;189;465
620;;368;164;468
621;;391;158;451
622;;377;172;451
623;;406;161;433
624;;410;159;431
625;;418;172;410
626;;426;162;412
627;;428;181;391
628;;436;204;360
629;;412;232;356
630;;422;232;346
631;;395;256;349
632;;382;274;344
633;;374;275;351
634;;380;275;345
635;;352;286;362
636;;332;264;404
637;;342;265;393
638;;343;242;415
639;;341;213;446
640;;358;205;437
641;;361;183;456
642;;360;150;490
643;;361;143;496
644;;384;119;497
645;;398;104;498
646;;412;101;487
647;;426;94;480
648;;449;93;458
649;;482;82;436
650;;534;59;407
651;;552;64;384
652;;597;57;346
653;;637;49;314
654;;652;49;299
655;;650;74;276
656;;688;80;232
657;;706;92;202
658;;720;97;183
659;;728;111;161
