"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,1960,40,0
1,,1954,46,0
2,,1939,61,0
3,,1933,67,0
4,,1909,91,0
5,,1872,128,0
6,,1817,183,0
7,,1764,236,0
8,,1711,243,46
9,,1599,340,61
10,,1509,424,67
11,,1396,513,91
12,,1277,595,128
13,,1163,654,183
14,,1061,703,236
15,,956,755,289
16,,824,775,401
17,,710,799,491
18,,625,771,604
19,,541,736,723
20,,447,716,837
21,,398,663,939
22,,400,602,998
23,,365,520,1115
24,,337,440,1223
25,,322,394,1284
26,,337,332,1331
27,,377,253,1370
28,,406,228,1366
29,,441,202,1357
30,,539,166,1295
31,,615,146,1239
32,,720,115,1165
33,,825,107,1068
34,,915,116,969
35,,994,115,891
36,,1065,131,804
37,,1180,134,686
38,,1243,171,586
39,,1279,212,509
40,,1320,241,439
41,,1372,259,369
42,,1335,322,343
43,,1304,363,333
44,,1284,416,300
45,,1246,437,317
46,,1190,483,327
47,,1080,572,348
48,,946,679,375
49,,901,662,437
50,,830,676,494
51,,772,678,550
52,,714,678,608
53,,626,679,695
54,,574,613,813
55,,540,522,938
56,,528,488,984
57,,516,445,1039
58,,479,427,1094
59,,492,393,1115
60,,513,325,1162
61,,542,273,1185
62,,566,233,1201
63,,630,220,1150
64,,684,195,1121
65,,728,167,1105
66,,780,149,1071
67,,851,145,1004
68,,959,155,886
69,,1085,160,755
70,,1099,193,708
71,,1155,205,640
72,,1177,229,594
73,,1183,275,542
74,,1214,316,470
75,,1203,369,428
76,,1149,458,393
77,,1085,502,413
78,,1069,531,400
79,,978,626,396
80,,849,727,424
81,,814,725,461
82,,715,761,524
83,,650,732,618
84,,582,723,695
85,,529,735,736
86,,466,679,855
87,,433,565,1002
88,,410,549,1041
89,,402,468,1130
90,,404,406,1190
91,,428,347,1225
92,,436,298,1266
93,,461,234,1305
94,,503,205,1292
95,,552,174,1274
96,,618,153,1229
97,,710,152,1138
98,,787,143,1070
99,,834,133,1033
100,,953,134,913
101,,1096,134,770
102,,1135,142,723
103,,1225,154,621
104,,1306,136,558
105,,1334,176,490
106,,1369,200,431
107,,1423,209,368
108,,1427,234,339
109,,1422,262,316
110,,1350,343,307
111,,1292,420,288
112,,1251,430,319
113,,1191,476,333
114,,1102,555,343
115,,1036,596,368
116,,949,647,404
117,,868,635,497
118,,770,674,556
119,,676,718,606
120,,612,712,676
121,,589,647,764
122,,563,607,830
123,,500,591,909
124,,489,533,978
125,,428,478,1094
126,,452,400,1148
127,,452,360,1188
128,,456,342,1202
129,,475,322,1203
130,,502,260,1238
131,,576,256,1168
132,,623,225,1152
133,,684,198,1118
134,,754,174,1072
135,,853,158,989
136,,893,178,929
137,,984,165,851
138,,1054,157,789
139,,1164,133,703
140,,1255,147,598
141,,1302,164,534
142,,1318,182,500
143,,1326,174,500
144,,1397,178,425
145,,1411,176,413
146,,1439,203,358
147,,1402,253,345
148,,1384,278,338
149,,1362,298,340
150,,1322,326,352
151,,1268,389,343
152,,1229,438,333
153,,1134,530,336
154,,1038,562,400
155,,924,634,442
156,,792,728,480
157,,746,754,500
158,,665,768,567
159,,615,771,614
160,,557,710,733
161,,510,675,815
162,,477,611,912
163,,449,525,1026
164,,457,463,1080
165,,431,412,1157
166,,432,359,1209
167,,443,317,1240
168,,495,268,1237
169,,530,225,1245
170,,564,183,1253
171,,609,174,1217
172,,663,157,1180
173,,719,151,1130
174,,822,151,1027
175,,892,165,943
176,,996,168,836
177,,1108,184,708
178,,1180,183,637
179,,1228,203,569
180,,1241,249,510
181,,1247,285,468
182,,1269,298,433
183,,1262,345,393
184,,1193,440,367
185,,1134,509,357
186,,1063,577,360
187,,995,605,400
188,,917,647,436
189,,811,726,463
190,,730,757,513
191,,651,725,624
192,,594,714,692
193,,560,660,780
194,,525,621,854
195,,514,554,932
196,,491,485,1024
197,,472,426,1102
198,,471,364,1165
199,,469,308,1223
200,,473,290,1237
201,,511,263,1226
202,,540,259,1201
203,,570,219,1211
204,,624,193,1183
205,,738,173,1089
206,,813,165,1022
207,,898,152,950
208,,953,163,884
209,,1028,159,813
210,,1123,173,704
211,,1194,187,619
212,,1262,201,537
213,,1315,212,473
214,,1324,234,442
215,,1329,245,426
216,,1310,272,418
217,,1308,300,392
218,,1293,327,380
219,,1276,350,374
220,,1218,405,377
221,,1137,477,386
222,,1048,544,408
223,,965,604,431
224,,866,661,473
225,,809,677,514
226,,757,692,551
227,,660,723,617
228,,607,682,711
229,,547,664,789
230,,519,605,876
231,,484,555,961
232,,481,515,1004
233,,438,520,1042
234,,416,456,1128
235,,452,389,1159
236,,451,341,1208
237,,467,324,1209
238,,507,277,1216
239,,543,265,1192
240,,570,218,1212
241,,637,184,1179
242,,736,193,1071
243,,830,165,1005
244,,910,161,929
245,,1006,162,832
246,,1057,163,780
247,,1097,165,738
248,,1177,183,640
249,,1236,182,582
250,,1300,194,506
251,,1305,210,485
252,,1288,273,439
253,,1258,314,428
254,,1271,346,383
255,,1243,390,367
256,,1182,443,375
257,,1159,482,359
258,,1067,562,371
259,,985,580,435
260,,887,636,477
261,,788,701,511
262,,746,681,573
263,,669,706,625
264,,603,721,676
265,,546,682,772
266,,489,658,853
267,,457,593,950
268,,435,518,1047
269,,427,502,1071
270,,394,457,1149
271,,400,397,1203
272,,424,332,1244
273,,494,268,1238
274,,531,240,1229
275,,574,207,1219
276,,626,191,1183
277,,678,159,1163
278,,729,153,1118
279,,816,170,1014
280,,894,180,926
281,,990,177,833
282,,1073,202,725
283,,1108,199,693
284,,1196,188,616
285,,1259,191,550
286,,1329,169,502
287,,1368,184,448
288,,1395,188,417
289,,1390,201,409
290,,1380,230,390
291,,1381,272,347
292,,1336,320,344
293,,1307,354,339
294,,1261,375,364
295,,1212,423,365
296,,1155,442,403
297,,1117,454,429
298,,1079,461,460
299,,1011,478,511
300,,983,494,523
301,,939,502,559
302,,900,489,611
303,,871,486,643
304,,832,484,684
305,,763,504,733
306,,718,484,798
307,,678,474,848
308,,654,469,877
309,,619,469,912
310,,612,460,928
311,,622,440,938
312,,621,414,965
313,,658,380,962
314,,665,367,968
315,,668,361,971
316,,712,330,958
317,,750,304,946
318,,765,311,924
319,,795,287,918
320,,851,285,864
321,,876,283,841
322,,901,269,830
323,,915,286,799
324,,928,308,764
325,,963,286,751
326,,1014,285,701
327,,1005,330,665
328,,1031,319,650
329,,1046,324,630
330,,1050,334,616
331,,1062,326,612
332,,1069,334,597
333,,1071,357,572
334,,1059,326,615
335,,1043,355,602
336,,1045,362,593
337,,983,397,620
338,,978,388,634
339,,979,401,620
340,,925,433,642
341,,906,438,656
342,,872,454,674
343,,840,474,686
344,,849,420,731
345,,828,458,714
346,,767,498,735
347,,710,500,790
348,,703,533,764
349,,668,523,809
350,,663,501,836
351,,661,522,817
352,,669,485,846
353,,673,428,899
354,,688,379,933
355,,660,369,971
356,,666,357,977
357,,677,348,975
358,,724,334,942
359,,712,345,943
360,,729,345,926
361,,786,335,879
362,,793,305,902
363,,814,306,880
364,,855,296,849
365,,855,289,856
366,,875,295,830
367,,913,314,773
368,,945,341,714
369,,947,379,674
370,,977,360,663
371,,963,393,644
372,,956,421,623
373,,930,430,640
374,,900,441,659
375,,833,491,676
376,,848,468,684
377,,825,509,666
378,,793,518,689
379,,762,528,710
380,,743,532,725
381,,710,535,755
382,,676,492,832
383,,648,505,847
384,,669,462,869
385,,659,430,911
386,,641,410,949
387,,648,390,962
388,,649,375,976
389,,643,374,983
390,,692,335,973
391,,702,327,971
392,,728,324,948
393,,757,305,938
394,,788,290,922
395,,798,292,910
396,,843,291,866
397,,856,304,840
398,,915,296,789
399,,918,328,754
400,,954,331,715
401,,962,358,680
402,,955,378,667
403,,913,422,665
404,,912,449,639
405,,918,459,623
406,,878,470,652
407,,865,499,636
408,,867,485,648
409,,851,479,670
410,,858,429,713
411,,811,436,753
412,,806,439,755
413,,785,417,798
414,,769,401,830
415,,753,404,843
416,,756,387,857
417,,762,387,851
418,,753,362,885
419,,755,347,898
420,,779,334,887
421,,785,315,900
422,,798,313,889
423,,828,306,866
424,,905,279,816
425,,927,275,798
426,,917,297,786
427,,935,314,751
428,,956,328,716
429,,940,343,717
430,,944,363,693
431,,933,401,666
432,,962,401,637
433,,909,447,644
434,,901,451,648
435,,873,484,643
436,,838,506,656
437,,829,502,669
438,,802,518,680
439,,771,553,676
440,,716,540,744
441,,697,538,765
442,,666,522,812
443,,658,493,849
444,,660,475,865
445,,628,453,919
446,,629,417,954
447,,617,396,987
448,,642,369,989
449,,646,348,1006
450,,659,342,999
451,,660,363,977
452,,666,363,971
453,,662,368,970
454,,711,353,936
455,,718,375,907
456,,744,386,870
457,,774,391,835
458,,781,381,838
459,,819,365,816
460,,833,382,785
461,,860,391,749
462,,850,406,744
463,,870,396,734
464,,848,419,733
465,,850,406,744
466,,847,425,728
467,,829,421,750
468,,804,452,744
469,,784,435,781
470,,758,460,782
471,,766,424,810
472,,784,429,787
473,,758,452,790
474,,751,446,803
475,,728,429,843
476,,760,399,841
477,,784,360,856
478,,775,382,843
479,,779,386,835
480,,738,385,877
481,,762,371,867
482,,763,356,881
483,,776,390,834
484,,760,420,820
485,,792,402,806
486,,774,411,815
487,,767,396,837
488,,780,403,817
489,,796,419,785
490,,791,420,789
491,,804,416,780
492,,787,429,784
493,,814,389,797
494,,840,379,781
495,,846,380,774
496,,831,394,775
497,,806,384,810
498,,766,398,836
499,,794,375,831
500,,793,407,800
501,,826,399,775
502,,821,396,783
503,,809,378,813
504,,798,398,804
505,,806,380,814
506,,800,396,804
507,,808,396,796
508,,821,401,778
509,,819,405,776
510,,817,411,772
511,,802,416,782
512,,812,410,778
513,,816,413,771
514,,758,439,803
515,,773,427,800
516,,786,413,801
517,,791,420,789
518,,810,376,814
519,,826,384,790
520,,795,396,809
521,,797,368,835
522,,787,385,828
523,,775,407,818
524,,791,378,831
525,,832,376,792
526,,839,367,794
527,,842,349,809
528,,838,355,807
529,,826,362,812
530,,814,366,820
531,,833,369,798
532,,862,386,752
533,,856,393,751
534,,866,389,745
535,,893,384,723
536,,879,374,747
537,,836,391,773
538,,833,420,747
539,,805,433,762
540,,779,461,760
541,,767,495,738
542,,764,497,739
543,,771,493,736
544,,774,469,757
545,,748,463,789
546,,722,459,819
547,,716,430,854
548,,701,415,884
549,,706,413,881
550,,732,401,867
551,,726,414,860
552,,724,393,883
553,,715,393,892
554,,727,382,891
555,,741,349,910
556,,742,348,910
557,,745,361,894
558,,782,335,883
559,,815,329,856
560,,822,326,852
561,,844,344,812
562,,877,359,764
563,,867,372,761
564,,867,371,762
565,,855,396,749
566,,878,400,722
567,,875,406,719
568,,842,432,726
