"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,1960,40,0
1,,1947,53,0
2,,1927,73,0
3,,1874,126,0
4,,1838,162,0
5,,1788,212,0
6,,1734,266,0
7,,1649,351,0
8,,1518,429,53
9,,1394,533,73
10,,1277,597,126
11,,1125,713,162
12,,993,795,212
13,,896,838,266
14,,770,879,351
15,,645,873,482
16,,560,834,606
17,,463,814,723
18,,389,736,875
19,,334,659,1007
20,,299,597,1104
21,,279,491,1230
22,,307,391,1302
23,,315,318,1367
24,,353,236,1411
25,,367,184,1449
26,,413,133,1454
27,,454,111,1435
28,,531,99,1370
29,,653,83,1264
30,,758,90,1152
31,,857,93,1050
32,,989,91,920
33,,1108,100,792
34,,1181,111,708
35,,1281,129,590
36,,1362,164,474
37,,1402,190,408
38,,1440,231,329
39,,1442,283,275
40,,1402,365,233
41,,1322,456,222
42,,1220,552,228
43,,1134,619,247
44,,1025,695,280
45,,914,762,324
46,,803,823,374
47,,674,861,465
48,,581,852,567
49,,513,806,681
50,,456,761,783
51,,422,693,885
52,,392,615,993
53,,357,537,1106
54,,331,443,1226
55,,326,366,1308
56,,317,325,1358
57,,345,275,1380
58,,370,242,1388
59,,414,209,1377
60,,470,170,1360
61,,548,148,1304
62,,652,130,1218
63,,750,119,1131
64,,837,127,1036
65,,939,126,935
66,,1042,134,824
67,,1140,153,707
68,,1244,165,591
69,,1317,187,496
70,,1354,202,444
71,,1374,224,402
72,,1361,271,368
73,,1312,345,343
74,,1315,362,323
75,,1290,397,313
76,,1200,483,317
77,,1140,539,321
78,,1047,602,351
79,,958,645,397
80,,891,630,479
81,,792,693,515
82,,717,721,562
83,,637,693,670
84,,575,684,741
85,,529,645,826
86,,495,589,916
87,,457,568,975
88,,455,490,1055
89,,436,446,1118
90,,443,381,1176
91,,449,328,1223
92,,478,275,1247
93,,521,245,1234
94,,596,206,1198
95,,624,193,1183
96,,665,168,1167
97,,779,147,1074
98,,848,140,1012
99,,917,163,920
100,,998,168,834
101,,1057,169,774
102,,1153,164,683
103,,1208,178,614
104,,1265,207,528
105,,1306,226,468
106,,1311,251,438
107,,1322,265,413
108,,1284,341,375
109,,1219,424,357
110,,1162,492,346
111,,1093,553,354
112,,1052,582,366
113,,971,615,414
114,,881,686,433
115,,811,679,510
116,,741,671,588
117,,680,650,670
118,,633,607,760
119,,587,605,808
120,,562,572,866
121,,541,508,951
122,,517,463,1020
123,,479,426,1095
124,,472,386,1142
125,,462,378,1160
126,,471,342,1187
127,,519,294,1187
128,,529,277,1194
129,,591,267,1142
130,,676,227,1097
131,,756,208,1036
132,,834,181,985
133,,885,168,947
134,,952,182,866
135,,1012,203,785
136,,1076,194,730
137,,1143,204,653
138,,1183,223,594
139,,1206,235,559
140,,1228,262,510
141,,1220,304,476
142,,1213,307,480
143,,1206,333,461
144,,1211,358,431
145,,1179,390,431
146,,1145,439,416
147,,1115,455,430
148,,1033,481,486
149,,997,493,510
150,,952,521,527
151,,896,542,562
152,,814,573,613
153,,758,568,674
154,,706,577,717
155,,663,552,785
156,,664,536,800
157,,643,503,854
158,,616,484,900
159,,585,452,963
160,,581,412,1007
161,,574,394,1032
162,,595,372,1033
163,,607,364,1029
164,,592,384,1024
165,,606,368,1026
166,,648,327,1025
167,,666,354,980
168,,684,345,971
169,,753,323,924
170,,788,312,900
171,,819,294,887
172,,831,317,852
173,,896,325,779
174,,907,327,766
175,,931,330,739
176,,934,371,695
177,,919,405,676
178,,910,412,678
179,,884,431,685
180,,882,466,652
181,,853,466,681
182,,827,498,675
183,,829,477,694
184,,801,482,717
185,,787,507,706
186,,755,497,748
187,,718,491,791
188,,681,526,793
189,,666,506,828
190,,655,497,848
191,,649,464,887
192,,640,441,919
193,,669,403,928
194,,651,392,957
195,,671,337,992
196,,657,339,1004
197,,678,348,974
198,,697,357,946
199,,709,343,948
200,,746,354,900
201,,779,338,883
202,,792,345,863
203,,812,343,845
204,,809,346,845
205,,816,363,821
206,,820,396,784
207,,846,397,757
208,,861,409,730
209,,902,416,682
210,,907,411,682
211,,872,434,694
212,,837,443,720
213,,823,438,739
214,,776,473,751
215,,781,472,747
216,,755,484,761
217,,765,481,754
218,,744,476,780
219,,718,476,806
220,,700,466,834
221,,693,437,870
222,,677,442,881
223,,672,428,900
224,,676,432,892
225,,700,390,910
226,,723,358,919
227,,762,334,904
228,,771,319,910
229,,789,297,914
230,,791,297,912
231,,822,265,913
232,,864,270,866
233,,895,271,834
234,,928,272,800
235,,950,294,756
236,,943,318,739
237,,957,318,725
238,,957,346,697
239,,979,361,660
240,,992,379,629
241,,1014,380,606
242,,970,417,613
243,,963,422,615
244,,932,453,615
245,,897,492,611
246,,836,533,631
247,,799,551,650
248,,792,556,652
249,,781,508,711
250,,763,497,740
251,,708,521,771
252,,689,473,838
253,,659,447,894
254,,633,437,930
255,,614,450,936
256,,615,460,925
257,,623,458,919
258,,614,412,974
259,,608,427,965
260,,618,402,980
261,,642,370,988
262,,653,341,1006
263,,700,332,968
264,,712,333,955
265,,755,312,933
266,,799,301,900
267,,843,308,849
268,,884,309,807
269,,869,340,791
270,,861,347,792
271,,880,329,791
272,,949,327,724
273,,932,340,728
274,,905,385,710
275,,932,389,679
276,,924,395,681
277,,904,417,679
278,,926,412,662
279,,936,425,639
280,,937,422,641
281,,910,397,693
282,,880,422,698
283,,860,405,735
284,,836,400,764
285,,845,414,741
286,,834,414,752
287,,848,390,762
288,,822,396,782
289,,803,386,811
290,,820,380,800
291,,833,350,817
292,,820,354,826
293,,831,330,839
294,,855,333,812
295,,894,313,793
296,,872,320,808
297,,917,298,785
298,,965,285,750
299,,955,277,768
300,,955,301,744
301,,981,296,723
302,,991,300,709
303,,976,318,706
304,,970,352,678
305,,999,366,635
306,,1003,366,631
307,,959,410,631
308,,913,458,629
309,,914,473,613
310,,893,469,638
311,,850,500,650
312,,814,535,651
313,,774,583,643
314,,721,568,711
315,,667,579,754
316,,644,583,773
317,,656,557,787
318,,621,527,852
319,,581,518,901
320,,588,463,949
321,,602,420,978
322,,595,368,1037
323,,601,343,1056
324,,637,337,1026
325,,665,308,1027
326,,697,250,1053
327,,698,256,1046
328,,772,240,988
329,,823,230,947
330,,856,218,926
331,,889,217,894
332,,937,228,835
333,,959,273,768
334,,1011,270,719
335,,1051,289,660
336,,1106,296,598
337,,1136,303,561
338,,1121,325,554
339,,1123,341,536
340,,1129,348,523
341,,1100,374,526
342,,1084,387,529
343,,1059,415,526
344,,1001,478,521
345,,978,480,542
346,,948,483,569
347,,873,506,621
348,,844,512,644
349,,818,506,676
350,,788,501,711
351,,765,454,781
352,,754,441,805
353,,731,445,824
354,,738,408,854
355,,701,413,886
356,,703,404,893
357,,716,368,916
358,,716,352,932
359,,747,332,921
360,,748,324,928
361,,762,324,914
362,,764,311,925
363,,788,302,910
