"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,1960,40,0
1,,1960,40,0
2,,1910,90,0
3,,1867,133,0
4,,1848,152,0
5,,1808,192,0
6,,1766,234,0
7,,1677,323,0
8,,1611,349,40
9,,1559,351,90
10,,1457,410,133
11,,1349,499,152
12,,1180,628,192
13,,1072,694,234
14,,957,720,323
15,,877,734,389
16,,753,806,441
17,,652,805,543
18,,592,757,651
19,,520,660,820
20,,462,610,928
21,,422,535,1043
22,,416,501,1083
23,,426,417,1157
24,,450,335,1215
25,,448,296,1256
26,,466,246,1288
27,,495,201,1304
28,,574,171,1255
29,,610,155,1235
30,,652,125,1223
31,,740,120,1140
32,,823,124,1053
33,,960,134,906
34,,1052,137,811
35,,1150,144,706
36,,1201,143,656
37,,1292,166,542
38,,1366,179,455
39,,1380,200,420
40,,1417,203,380
41,,1445,217,338
42,,1447,238,315
43,,1429,273,298
44,,1417,292,291
45,,1352,349,299
46,,1324,352,324
47,,1244,419,337
48,,1188,458,354
49,,1108,510,382
50,,1038,546,416
51,,953,589,458
52,,875,597,528
53,,792,656,552
54,,732,646,622
55,,678,647,675
56,,604,648,748
57,,579,602,819
58,,546,573,881
59,,526,528,946
60,,518,474,1008
61,,500,435,1065
62,,486,409,1105
63,,501,341,1158
64,,536,316,1148
65,,563,275,1162
66,,614,261,1125
67,,631,239,1130
68,,709,210,1081
69,,758,186,1056
70,,797,214,989
71,,852,230,918
72,,889,263,848
73,,925,286,789
74,,973,314,713
75,,1015,340,645
76,,1004,401,595
77,,1019,426,555
78,,1012,442,546
79,,1015,447,538
80,,977,476,547
81,,957,490,553
82,,946,504,550
83,,905,508,587
84,,869,491,640
85,,796,532,672
86,,746,544,710
87,,704,534,762
88,,683,513,804
89,,655,501,844
90,,614,477,909
91,,607,476,917
92,,623,403,974
93,,611,398,991
94,,631,359,1010
95,,656,341,1003
96,,665,330,1005
97,,720,295,985
98,,754,279,967
99,,761,304,935
100,,785,273,942
101,,842,265,893
102,,875,271,854
103,,896,273,831
104,,943,285,772
105,,965,280,755
106,,999,294,707
107,,1018,311,671
108,,1048,328,624
109,,1024,364,612
110,,1034,363,603
111,,1012,408,580
112,,1008,433,559
113,,994,408,598
114,,1014,402,584
115,,987,420,593
116,,938,427,635
117,,899,465,636
118,,825,482,693
119,,790,497,713
120,,765,533,702
121,,732,555,713
122,,696,556,748
123,,657,552,791
124,,642,530,828
125,,622,488,890
126,,605,465,930
127,,639,420,941
128,,644,399,957
129,,632,392,976
130,,673,348,979
131,,678,327,995
132,,719,311,970
133,,744,294,962
134,,744,303,953
135,,753,293,954
136,,764,288,948
137,,794,306,900
138,,825,318,857
139,,892,309,799
140,,909,332,759
141,,915,362,723
142,,914,394,692
143,,899,421,680
144,,918,428,654
145,,896,459,645
146,,879,501,620
147,,860,514,626
148,,808,527,665
149,,785,528,687
150,,764,527,709
151,,726,540,734
152,,701,522,777
153,,695,495,810
154,,690,464,846
155,,672,439,889
156,,654,424,922
157,,635,417,948
158,,651,381,968
159,,666,353,981
160,,674,330,996
161,,689,333,978
162,,697,337,966
163,,720,328,952
164,,769,287,944
165,,790,289,921
166,,850,275,875
167,,898,277,825
168,,913,290,797
169,,989,235,776
170,,1018,230,752
171,,1057,239,704
172,,1084,246,670
173,,1092,280,628
174,,1088,305,607
175,,1080,297,623
176,,1087,341,572
177,,1088,354,558
178,,1110,364,526
179,,1051,414,535
180,,1006,439,555
181,,974,444,582
182,,969,444,587
183,,961,463,576
184,,915,501,584
185,,877,520,603
186,,853,487,660
187,,763,518,719
188,,744,507,749
189,,737,522,741
190,,677,519,804
191,,659,486,855
192,,643,473,884
193,,647,452,901
194,,658,385,957
195,,647,402,951
196,,667,367,966
197,,680,338,982
198,,697,316,987
199,,706,301,993
200,,770,291,939
201,,825,272,903
202,,836,255,909
203,,838,273,889
204,,849,294,857
205,,898,300,802
206,,913,313,774
207,,887,370,743
208,,961,382,657
209,,916,427,657
210,,924,436,640
211,,929,439,632
212,,928,456,616
213,,908,478,614
214,,841,498,661
215,,821,525,654
216,,813,505,682
217,,804,487,709
218,,753,514,733
219,,726,518,756
220,,702,507,791
221,,677,455,868
222,,664,429,907
223,,657,411,932
224,,655,422,923
225,,642,405,953
226,,616,410,974
227,,633,382,985
228,,710,337,953
229,,701,345,954
230,,739,345,916
231,,750,341,909
232,,771,310,919
233,,812,260,928
234,,848,263,889
235,,928,280,792
236,,940,286,774
237,,938,306,756
238,,932,305,763
239,,980,305,715
240,,1001,329,670
241,,976,379,645
242,,992,391,617
243,,959,410,631
244,,960,389,651
245,,961,393,646
246,,958,427,615
247,,949,462,589
248,,876,482,642
249,,824,505,671
250,,797,507,696
251,,809,496,695
252,,803,499,698
253,,739,529,732
254,,681,528,791
255,,671,468,861
256,,651,453,896
257,,671,412,917
258,,687,428,885
259,,714,394,892
260,,701,343,956
261,,693,317,990
262,,743,307,950
263,,744,298,958
264,,784,297,919
265,,787,289,924
266,,798,309,893
267,,836,292,872
268,,870,285,845
269,,910,315,775
270,,904,345,751
271,,909,382,709
272,,878,405,717
273,,875,422,703
274,,921,444,635
275,,927,471,602
276,,889,489,622
277,,850,507,643
278,,806,515,679
279,,800,506,694
280,,731,538,731
281,,726,538,736
282,,715,529,756
283,,703,493,804
284,,646,502,852
285,,601,502,897
286,,592,497,911
287,,597,443,960
288,,590,428,982
289,,592,408,1000
290,,630,388,982
291,,642,349,1009
292,,661,322,1017
293,,680,317,1003
294,,674,345,981
295,,690,344,966
296,,717,346,937
297,,759,360,881
298,,783,366,851
299,,802,374,824
300,,786,400,814
301,,806,406,788
302,,820,408,772
303,,823,423,754
304,,790,462,748
305,,806,479,715
306,,831,473,696
307,,812,471,717
308,,763,486,751
309,,753,495,752
310,,749,482,769
311,,705,473,822
312,,692,463,845
313,,689,464,847
314,,685,444,871
315,,680,428,892
316,,685,412,903
317,,701,394,905
318,,694,371,935
319,,714,344,942
320,,728,335,937
321,,780,305,915
322,,806,280,914
323,,817,276,907
324,,814,310,876
325,,846,310,844
326,,883,310,807
327,,895,306,799
328,,920,331,749
329,,942,350,708
330,,917,395,688
331,,889,407,704
332,,880,439,681
333,,891,455,654
334,,881,478,641
335,,881,483,636
336,,880,490,630
337,,870,459,671
338,,838,445,717
339,,832,419,749
340,,824,411,765
341,,815,401,784
342,,779,407,814
343,,777,383,840
344,,774,372,854
345,,806,342,852
346,,797,345,858
347,,782,352,866
348,,783,338,879
349,,807,303,890
350,,822,305,873
351,,863,306,831
352,,902,311,787
353,,915,321,764
354,,916,321,763
355,,928,333,739
356,,947,343,710
357,,943,369,688
358,,945,377,678
359,,930,417,653
360,,923,411,666
361,,919,408,673
362,,899,430,671
363,,885,469,646
364,,886,440,674
365,,873,444,683
366,,830,442,728
367,,817,451,732
368,,825,446,729
369,,794,443,763
370,,756,432,812
371,,719,472,809
372,,726,453,821
373,,722,419,859
374,,724,414,862
375,,715,431,854
376,,717,410,873
377,,702,397,901
378,,709,379,912
379,,725,378,897
380,,756,383,861
381,,776,359,865
382,,778,345,877
383,,788,359,853
384,,814,357,829
385,,818,331,851
386,,826,343,831
387,,849,349,802
388,,896,331,773
389,,900,324,776
390,,940,291,769
391,,934,312,754
392,,964,326,710
393,,946,333,721
394,,911,357,732
395,,867,443,690
396,,871,460,669
397,,855,495,650
398,,814,517,669
399,,805,538,657
400,,784,540,676
401,,764,530,706
402,,756,470,774
403,,747,469,784
404,,759,455,786
