"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,1960,40,0
1,,1950,50,0
2,,1935,65,0
3,,1927,73,0
4,,1904,96,0
5,,1876,124,0
6,,1779,221,0
7,,1718,282,0
8,,1617,333,50
9,,1486,449,65
10,,1367,560,73
11,,1257,647,96
12,,1065,811,124
13,,922,857,221
14,,795,923,282
15,,670,947,383
16,,560,926,514
17,,453,914,633
18,,362,895,743
19,,295,770,935
20,,258,664,1078
21,,219,576,1205
22,,248,472,1280
23,,242,383,1375
24,,235,291,1474
25,,252,206,1542
26,,269,150,1581
27,,361,118,1521
28,,416,85,1499
29,,512,69,1419
30,,639,52,1309
31,,753,42,1205
32,,863,36,1101
33,,1045,35,920
34,,1179,39,782
35,,1306,33,661
36,,1421,38,541
37,,1523,42,435
38,,1615,52,333
39,,1682,76,242
40,,1733,82,185
41,,1770,73,157
42,,1777,105,118
43,,1785,108,107
44,,1774,132,94
45,,1767,139,94
46,,1712,176,112
47,,1666,217,117
48,,1572,316,112
49,,1501,361,138
50,,1417,437,146
51,,1299,527,174
52,,1170,639,191
53,,1078,670,252
54,,977,724,299
55,,852,759,389
56,,710,824,466
57,,668,787,545
58,,592,749,659
59,,509,713,778
60,,459,695,846
61,,413,646,941
62,,359,566,1075
63,,358,457,1185
64,,339,437,1224
65,,353,371,1276
66,,349,299,1352
67,,395,240,1365
68,,429,201,1370
69,,510,165,1325
70,,577,142,1281
71,,644,132,1224
72,,745,135,1120
73,,874,114,1012
74,,963,102,935
75,,1070,83,847
76,,1178,91,731
77,,1307,94,599
78,,1320,111,569
79,,1389,105,506
80,,1473,114,413
81,,1542,116,342
82,,1549,167,284
83,,1570,174,256
84,,1580,184,236
85,,1565,192,243
86,,1531,229,240
87,,1464,308,228
88,,1405,377,218
89,,1358,392,250
90,,1289,446,265
91,,1172,550,278
92,,1090,607,303
93,,998,668,334
94,,909,669,422
95,,827,680,493
96,,756,685,559
97,,679,701,620
98,,639,627,734
99,,630,571,799
100,,578,525,897
101,,544,479,977
102,,505,438,1057
103,,510,413,1077
104,,511,342,1147
105,,496,327,1177
106,,507,315,1178
107,,537,270,1193
108,,607,245,1148
109,,645,237,1118
110,,671,231,1098
111,,736,221,1043
112,,792,254,954
113,,852,262,886
114,,898,307,795
115,,936,340,724
116,,985,340,675
117,,995,361,644
118,,1034,403,563
119,,1003,416,581
120,,981,442,577
121,,982,441,577
122,,918,497,585
123,,870,553,577
124,,865,543,592
125,,822,554,624
126,,775,555,670
127,,757,539,704
128,,694,558,748
129,,640,523,837
130,,600,507,893
131,,562,534,904
132,,549,494,957
133,,584,445,971
134,,579,440,981
135,,595,406,999
136,,603,377,1020
137,,598,342,1060
138,,611,312,1077
139,,640,312,1048
140,,682,318,1000
141,,704,317,979
142,,744,292,964
143,,816,284,900
144,,887,264,849
145,,879,275,846
146,,904,290,806
147,,964,273,763
148,,929,314,757
149,,952,350,698
150,,971,368,661
151,,1011,383,606
152,,1023,390,587
153,,1006,392,602
154,,983,426,591
155,,942,427,631
156,,921,437,642
157,,885,463,652
158,,885,468,647
159,,849,486,665
160,,805,513,682
161,,812,489,699
162,,810,449,741
163,,776,437,787
164,,762,407,831
165,,736,413,851
166,,723,401,876
167,,709,386,905
168,,698,387,915
169,,726,398,876
170,,747,379,874
171,,735,395,870
172,,744,375,881
173,,768,345,887
174,,761,340,899
175,,775,349,876
176,,819,334,847
177,,832,352,816
178,,881,317,802
179,,860,352,788
180,,891,363,746
181,,915,359,726
182,,902,362,736
183,,901,367,732
184,,909,360,731
185,,902,386,712
186,,891,382,727
187,,926,366,708
188,,943,358,699
189,,951,338,711
190,,954,345,701
191,,942,346,712
192,,965,332,703
193,,948,318,734
194,,931,340,729
195,,938,345,717
196,,928,372,700
197,,912,376,712
198,,916,378,706
199,,910,372,718
200,,928,372,700
201,,929,365,706
202,,950,347,703
203,,933,357,710
204,,941,338,721
205,,930,346,724
206,,923,373,704
207,,913,397,690
208,,908,387,705
209,,917,391,692
210,,871,400,729
211,,849,437,714
212,,819,457,724
213,,771,484,745
214,,753,478,769
215,,756,492,752
216,,737,525,738
217,,729,514,757
218,,717,508,775
219,,706,491,803
220,,674,469,857
221,,665,460,875
222,,687,434,879
223,,652,432,916
224,,655,431,914
225,,640,415,945
226,,656,396,948
227,,671,376,953
228,,685,377,938
229,,699,375,926
230,,708,335,957
231,,751,304,945
232,,785,292,923
233,,834,279,887
234,,892,263,845
235,,906,257,837
236,,929,262,809
237,,967,266,767
238,,988,277,735
239,,1005,288,707
240,,983,342,675
241,,989,372,639
242,,984,382,634
243,,935,428,637
244,,920,479,601
245,,941,478,581
246,,910,510,580
247,,894,485,621
248,,853,512,635
249,,839,522,639
250,,799,511,690
251,,761,494,745
252,,728,517,755
253,,743,459,798
254,,700,473,827
255,,679,437,884
256,,680,416,904
257,,671,390,939
258,,646,381,973
259,,623,382,995
260,,626,405,969
261,,673,369,958
262,,678,373,949
263,,694,368,938
264,,721,378,901
265,,765,360,875
266,,749,352,899
267,,769,367,864
268,,775,383,842
269,,818,372,810
270,,833,383,784
271,,829,403,768
272,,826,433,741
273,,848,418,734
274,,809,419,772
275,,827,421,752
276,,804,451,745
277,,792,457,751
278,,771,448,781
279,,766,441,793
280,,785,445,770
281,,787,427,786
282,,743,453,804
283,,750,427,823
284,,770,390,840
285,,760,389,851
286,,749,377,874
