"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,1960,40,0
1,,1952,48,0
2,,1945,55,0
3,,1920,80,0
4,,1896,104,0
5,,1857,143,0
6,,1814,186,0
7,,1758,242,0
8,,1676,276,48
9,,1604,341,55
10,,1529,391,80
11,,1426,470,104
12,,1363,494,143
13,,1232,582,186
14,,1117,641,242
15,,950,726,324
16,,830,774,396
17,,714,815,471
18,,625,801,574
19,,526,837,637
20,,435,797,768
21,,374,743,883
22,,373,625,1002
23,,347,538,1115
24,,330,464,1206
25,,326,403,1271
26,,348,321,1331
27,,379,242,1379
28,,408,208,1384
29,,476,173,1351
30,,523,165,1312
31,,577,144,1279
32,,667,129,1204
33,,709,133,1158
34,,828,133,1039
35,,924,125,951
36,,1054,148,798
37,,1148,149,703
38,,1237,155,608
39,,1306,162,532
40,,1357,189,454
41,,1398,227,375
42,,1400,267,333
43,,1404,275,321
44,,1363,323,314
45,,1319,382,299
46,,1294,415,291
47,,1244,434,322
48,,1148,492,360
49,,1085,523,392
50,,987,590,423
51,,889,639,472
52,,799,664,537
53,,723,700,577
54,,644,733,623
55,,596,685,719
56,,552,658,790
57,,529,606,865
58,,478,560,962
59,,449,505,1046
60,,433,452,1115
61,,461,372,1167
62,,479,344,1177
63,,523,296,1181
64,,538,266,1196
65,,579,222,1199
66,,621,210,1169
67,,641,207,1152
68,,691,204,1105
69,,770,201,1029
70,,824,222,954
71,,894,234,872
72,,979,239,782
73,,1056,229,715
74,,1110,231,659
75,,1170,254,576
76,,1155,300,545
77,,1146,336,518
78,,1092,408,500
79,,1083,456,461
80,,1051,510,439
81,,1011,551,438
82,,971,571,458
83,,925,574,501
84,,867,575,558
85,,841,517,642
86,,784,521,695
87,,743,518,739
88,,722,496,782
89,,673,502,825
90,,655,471,874
91,,659,430,911
92,,658,417,925
93,,665,358,977
94,,645,327,1028
95,,647,306,1047
96,,648,279,1073
97,,686,269,1045
98,,701,294,1005
99,,787,279,934
100,,836,285,879
101,,894,261,845
102,,922,276,802
103,,938,281,781
104,,987,273,740
105,,1014,262,724
106,,1021,283,696
107,,1042,315,643
108,,1092,320,588
109,,1070,348,582
110,,1074,366,560
111,,1064,394,542
112,,1025,419,556
113,,1001,437,562
114,,983,417,600
115,,982,437,581
116,,959,417,624
117,,927,426,647
118,,877,456,667
119,,872,447,681
120,,832,448,720
121,,805,463,732
122,,766,477,757
123,,757,478,765
124,,744,464,792
125,,686,464,850
126,,679,455,866
127,,672,443,885
128,,685,435,880
129,,674,412,914
130,,692,413,895
131,,689,421,890
132,,696,384,920
133,,723,375,902
134,,735,374,891
135,,746,356,898
136,,774,337,889
137,,789,320,891
138,,816,299,885
139,,856,296,848
140,,862,308,830
141,,876,307,817
142,,899,310,791
143,,918,333,749
144,,924,343,733
145,,906,374,720
146,,921,399,680
147,,887,430,683
148,,879,440,681
149,,832,502,666
150,,761,569,670
151,,746,591,663
152,,711,616,673
153,,691,614,695
154,,672,590,738
155,,632,621,747
156,,579,609,812
157,,543,555,902
158,,537,529,934
159,,538,472,990
160,,545,442,1013
161,,564,416,1020
162,,568,371,1061
163,,584,305,1111
164,,595,281,1124
165,,624,256,1120
166,,666,246,1088
167,,716,228,1056
168,,751,243,1006
169,,786,222,992
170,,848,238,914
171,,900,264,836
172,,927,288,785
173,,987,295,718
174,,1019,311,670
175,,1015,326,659
176,,1070,337,593
177,,1101,356,543
178,,1085,370,545
179,,1070,386,544
180,,1064,395,541
181,,1019,442,539
182,,988,443,569
183,,990,451,559
184,,939,467,594
185,,897,469,634
186,,839,487,674
187,,796,514,690
188,,739,508,753
189,,728,503,769
190,,703,509,788
191,,690,487,823
192,,686,475,839
193,,691,436,873
194,,684,407,909
195,,690,360,950
196,,734,320,946
197,,726,314,960
198,,749,297,954
199,,797,259,944
200,,832,245,923
201,,846,233,921
202,,905,227,868
203,,938,239,823
204,,948,229,823
205,,970,246,784
206,,1017,249,734
207,,1041,278,681
208,,1092,268,640
209,,1098,315,587
210,,1119,322,559
211,,1101,356,543
212,,1081,376,543
213,,1068,424,508
214,,1015,462,523
215,,977,522,501
216,,935,523,542
217,,874,565,561
218,,823,592,585
219,,772,606,622
220,,728,599,673
221,,688,572,740
222,,675,535,790
223,,648,514,838
224,,624,489,887
225,,614,438,948
226,,601,417,982
227,,579,398,1023
228,,587,379,1034
229,,557,386,1057
230,,589,374,1037
231,,584,362,1054
232,,641,329,1030
233,,689,288,1023
234,,738,265,997
235,,802,247,951
236,,852,227,921
237,,885,227,888
238,,952,197,851
239,,1017,216,767
240,,1052,243,705
241,,1062,275,663
242,,1068,306,626
243,,1052,335,613
244,,1042,357,601
245,,1012,429,559
246,,993,462,545
247,,1003,466,531
248,,981,479,540
249,,952,495,553
250,,939,499,562
251,,932,484,584
252,,887,487,626
253,,801,521,678
254,,735,556,709
255,,677,569,754
256,,658,541,801
257,,621,545,834
258,,586,573,841
259,,548,536,916
260,,534,483,983
261,,549,429,1022
262,,560,392,1048
263,,587,377,1036
264,,600,356,1044
265,,640,303,1057
266,,678,299,1023
267,,705,291,1004
268,,720,295,985
269,,750,289,961
270,,786,296,918
271,,823,276,901
272,,825,299,876
273,,873,292,835
274,,919,307,774
275,,973,303,724
276,,1016,303,681
277,,1021,306,673
278,,1051,317,632
279,,1080,318,602
280,,1056,353,591
281,,1048,354,598
282,,1030,372,598
283,,1014,394,592
284,,962,436,602
285,,952,455,593
286,,894,489,617
287,,878,477,645
288,,846,493,661
289,,835,490,675
290,,840,463,697
291,,795,463,742
292,,736,492,772
293,,695,498,807
294,,656,514,830
295,,653,500,847
296,,623,515,862
297,,603,540,857
298,,588,513,899
299,,575,478,947
300,,567,446,987
301,,598,411,991
302,,618,389,993
303,,623,372,1005
304,,641,356,1003
305,,700,324,976
306,,702,328,970
307,,727,329,944
308,,764,311,925
309,,807,304,889
310,,820,293,887
311,,807,297,896
312,,830,333,837
313,,856,338,806
314,,903,322,775
315,,923,355,722
316,,934,373,693
317,,934,401,665
318,,938,409,653
319,,923,420,657
320,,894,440,666
321,,895,454,651
322,,890,444,666
323,,857,466,677
324,,859,447,694
325,,823,471,706
326,,790,457,753
327,,778,444,778
328,,761,463,776
329,,710,491,799
330,,690,471,839
331,,677,475,848
332,,691,429,880
333,,709,414,877
334,,749,367,884
335,,743,340,917
336,,757,308,935
337,,746,317,937
338,,769,309,922
339,,807,293,900
340,,845,284,871
341,,890,299,811
342,,891,306,803
343,,900,301,799
344,,920,292,788
345,,900,316,784
346,,952,326,722
347,,967,335,698
348,,961,373,666
349,,953,401,646
350,,988,403,609
351,,978,413,609
352,,941,434,625
353,,934,447,619
354,,906,475,619
355,,834,494,672
356,,788,505,707
357,,785,511,704
358,,773,522,705
359,,743,507,750
360,,659,568,773
361,,612,578,810
362,,587,546,867
363,,575,519,906
364,,567,519,914
365,,556,509,935
366,,574,485,941
367,,561,424,1015
368,,575,372,1053
369,,624,336,1040
370,,671,305,1024
371,,664,306,1030
372,,671,298,1031
373,,742,266,992
374,,766,242,992
375,,804,246,950
376,,857,261,882
377,,915,261,824
378,,924,251,825
379,,938,255,807
380,,982,267,751
381,,1053,281,666
382,,1092,290,618
383,,1102,301,597
384,,1076,358,566
385,,1049,394,557
386,,1042,405,553
387,,1019,448,533
388,,1015,462,523
389,,949,515,536
390,,861,577,562
391,,828,553,619
392,,813,542,645
393,,779,561,660
394,,717,568,715
395,,686,571,743
396,,669,526,805
397,,663,459,878
398,,619,470,911
399,,620,444,936
400,,613,421,966
401,,610,374,1016
402,,616,351,1033
403,,626,333,1041
404,,648,316,1036
405,,705,272,1023
406,,752,262,986
407,,794,224,982
408,,833,225,942
409,,859,219,922
410,,928,213,859
411,,1000,225,775
412,,1025,233,742
413,,1068,226,706
414,,1113,242,645
415,,1137,264,599
416,,1114,316,570
417,,1080,374,546
418,,1045,414,541
419,,1057,438,505
420,,1007,505,488
421,,1015,519,466
422,,967,544,489
423,,893,572,535
424,,845,568,587
425,,795,566,639
426,,760,569,671
427,,726,543,731
428,,665,574,761
429,,638,554,808
430,,598,514,888
431,,590,468,942
432,,594,426,980
433,,586,407,1007
434,,591,361,1048
435,,601,306,1093
436,,619,283,1098
437,,689,225,1086
438,,738,226,1036
439,,806,202,992
440,,836,188,976
441,,904,192,904
442,,920,200,880
443,,981,182,837
444,,1053,208,739
445,,1091,215,694
446,,1147,225,628
447,,1161,244,595
448,,1167,280,553
449,,1186,308,506
450,,1161,374,465
451,,1139,428,433
452,,1102,457,441
453,,1072,501,427
454,,1026,542,432
455,,960,568,472
456,,855,637,508
457,,777,667,556
458,,678,686,636
459,,636,692,672
460,,575,699,726
461,,519,695,786
462,,497,655,848
463,,488,567,945
464,,452,507,1041
465,,455,431,1114
466,,451,400,1149
467,,453,347,1200
468,,477,286,1237
469,,518,259,1223
470,,554,242,1204
471,,611,215,1174
472,,677,206,1117
473,,724,184,1092
474,,771,183,1046
475,,808,211,981
476,,862,224,914
477,,958,233,809
478,,1044,234,722
479,,1108,255,637
480,,1117,299,584
481,,1143,327,530
482,,1141,362,497
483,,1146,371,483
484,,1134,391,475
485,,1109,442,449
486,,1058,481,461
487,,1016,501,483
488,,971,519,510
489,,909,518,573
490,,851,554,595
491,,805,571,624
492,,752,572,676
493,,709,555,736
494,,676,524,800
495,,639,515,846
496,,657,463,880
497,,616,459,925
498,,606,432,962
499,,575,411,1014
500,,575,389,1036
501,,608,367,1025
502,,631,335,1034
503,,696,323,981
504,,711,276,1013
505,,749,248,1003
506,,797,220,983
507,,847,209,944
508,,892,217,891
509,,924,226,850
510,,986,228,786
511,,1021,244,735
512,,1046,274,680
513,,1085,284,631
514,,1111,291,598
515,,1115,301,584
516,,1113,326,561
517,,1074,375,551
518,,1086,394,520
519,,1065,413,522
520,,1065,431,504
521,,1031,469,500
522,,992,490,518
523,,934,514,552
524,,894,503,603
525,,861,501,638
526,,796,517,687
527,,766,519,715
528,,735,505,760
529,,729,480,791
530,,720,440,840
531,,697,425,878
532,,679,426,895
533,,642,428,930
534,,651,399,950
535,,640,386,974
536,,666,364,970
537,,686,360,954
538,,694,378,928
539,,716,357,927
540,,735,320,945
541,,735,347,918
542,,771,338,891
543,,786,370,844
544,,797,403,800
545,,777,420,803
546,,761,456,783
547,,789,463,748
548,,795,459,746
549,,785,491,724
550,,772,494,734
551,,762,475,763
552,,760,442,798
553,,765,422,813
554,,791,426,783
555,,764,430,806
556,,730,441,829
557,,674,462,864
558,,660,462,878
559,,693,445,862
560,,678,444,878
561,,673,438,889
562,,676,435,889
563,,673,395,932
564,,687,357,956
565,,723,340,937
566,,788,325,887
567,,807,327,866
568,,819,317,864
569,,818,317,865
570,,841,323,836
571,,854,327,819
572,,866,332,802
573,,873,357,770
574,,855,374,771
575,,848,397,755
576,,850,398,752
577,,853,429,718
578,,882,434,684
579,,866,462,672
580,,820,498,682
581,,800,499,701
582,,767,519,714
583,,736,549,715
584,,707,541,752
585,,668,571,761
586,,636,570,794
587,,601,544,855
588,,593,534,873
589,,581,503,916
590,,579,474,947
591,,570,460,970
592,,552,443,1005
593,,550,418,1032
594,,545,413,1042
595,,590,377,1033
596,,613,365,1022
597,,657,320,1023
598,,695,304,1001
599,,709,277,1014
600,,755,257,988
601,,808,235,957
602,,859,230,911
603,,905,227,868
604,,955,251,794
605,,962,274,764
606,,1010,270,720
607,,1011,314,675
608,,1027,325,648
609,,1046,347,607
610,,1062,346,592
611,,1045,384,571
612,,985,437,578
613,,998,455,547
614,,963,466,571
615,,953,487,560
616,,926,497,577
617,,904,523,573
618,,821,544,635
619,,776,513,711
620,,748,527,725
621,,708,512,780
622,,697,491,812
623,,667,489,844
624,,643,488,869
625,,633,439,928
626,,641,409,950
627,,640,378,982
628,,677,345,978
629,,672,350,978
630,,683,331,986
631,,692,297,1011
632,,740,277,983
633,,821,257,922
634,,832,263,905
635,,872,271,857
636,,899,260,841
637,,917,263,820
638,,907,308,785
639,,966,318,716
640,,978,356,666
641,,993,366,641
642,,980,404,616
643,,956,434,610
644,,935,471,594
645,,905,490,605
646,,871,534,595
647,,853,534,613
648,,806,565,629
649,,747,578,675
650,,731,575,694
651,,703,563,734
652,,672,530,798
653,,659,489,852
654,,648,462,890
655,,651,418,931
656,,636,382,982
657,,639,352,1009
658,,641,325,1034
659,,681,299,1020
660,,690,287,1023
661,,748,256,996
662,,788,229,983
663,,839,201,960
664,,868,205,927
665,,913,199,888
666,,969,202,829
667,,1015,209,776
668,,1038,244,718
669,,1084,269,647
670,,1144,273,583
671,,1157,286,557
672,,1159,317,524
673,,1199,300,501
674,,1175,329,496
675,,1159,341,500
676,,1128,374,498
677,,1107,419,474
678,,1069,440,491
679,,1015,469,516
680,,940,558,502
681,,896,566,538
682,,835,580,585
683,,784,573,643
684,,746,562,692
685,,712,562,726
686,,680,534,786
