"time";"placeholder";"Susceptible";"Infected-infectious";"Recovered"
0;;980;20;0
1;;977;23;0
2;;956;44;0
3;;953;47;0
4;;929;71;0
5;;912;88;0
6;;875;125;0
7;;835;165;0
8;;748;229;23
9;;714;242;44
10;;660;293;47
11;;600;329;71
12;;520;392;88
13;;443;432;125
14;;393;442;165
15;;341;407;252
16;;289;425;286
17;;241;419;340
18;;196;404;400
19;;173;347;480
20;;163;280;557
21;;141;252;607
22;;154;210;636
23;;161;172;667
24;;155;133;712
25;;168;99;733
26;;176;85;739
27;;206;82;712
28;;245;61;694
29;;326;57;617
30;;351;52;597
31;;402;46;552
32;;450;47;503
33;;529;39;432
34;;606;32;362
35;;652;35;313
36;;676;57;267
37;;722;54;224
38;;765;56;179
39;;797;57;146
40;;813;63;124
41;;823;63;114
42;;812;92;96
43;;807;79;114
44;;794;100;106
45;;771;127;102
46;;760;136;104
47;;740;158;102
48;;709;196;95
49;;649;224;127
50;;607;257;136
51;;558;288;154
52;;537;280;183
53;;510;297;193
54;;446;333;221
55;;387;354;259
56;;340;344;316
57;;309;355;336
58;;287;325;388
59;;268;325;407
60;;259;308;433
61;;217;292;491
62;;186;264;550
63;;196;236;568
64;;186;202;612
65;;202;185;613
66;;216;179;605
67;;222;173;605
68;;228;147;625
69;;244;138;618
70;;299;121;580
71;;328;115;557
72;;378;112;510
73;;385;111;504
74;;414;105;481
75;;464;97;439
76;;504;94;402
77;;534;109;357
78;;559;124;317
79;;567;136;297
80;;577;133;290
81;;542;180;278
82;;552;204;244
83;;542;226;232
84;;536;234;230
85;;533;228;239
86;;501;251;248
87;;465;291;244
88;;450;265;285
89;;440;259;301
90;;428;252;320
91;;398;259;343
92;;364;284;352
93;;328;285;387
94;;310;266;424
95;;301;254;445
96;;281;256;463
97;;271;251;478
98;;274;233;493
99;;274;214;512
100;;269;195;536
101;;258;185;557
102;;301;180;519
103;;314;171;515
104;;337;160;503
105;;352;156;492
106;;368;134;498
107;;395;125;480
108;;437;112;451
109;;444;122;434
110;;455;118;427
111;;477;112;411
112;;492;119;389
113;;511;141;348
114;;526;154;320
115;;520;183;297
116;;515;183;302
117;;522;189;289
118;;494;234;272
119;;469;256;275
120;;464;261;275
121;;435;286;279
122;;420;285;295
123;;401;294;305
124;;407;286;307
125;;397;257;346
126;;361;264;375
127;;354;244;402
128;;339;221;440
129;;314;218;468
130;;318;205;477
131;;316;209;475
132;;295;214;491
133;;278;202;520
134;;303;192;505
135;;308;185;507
136;;330;167;503
137;;343;158;499
138;;360;145;495
139;;405;124;471
140;;432;102;466
141;;464;100;436
142;;517;77;406
143;;532;83;385
144;;539;98;363
145;;553;93;354
146;;564;98;338
147;;593;103;304
148;;588;120;292
149;;604;134;262
150;;606;144;250
151;;589;155;256
152;;576;186;238
153;;591;187;222
154;;599;196;205
155;;552;228;220
156;;533;256;211
157;;495;278;227
158;;448;299;253
159;;418;303;279
160;;377;338;285
161;;351;350;299
162;;303;349;348
163;;267;343;390
164;;252;326;422
165;;256;290;454
166;;232;279;489
167;;230;245;525
168;;228;226;546
169;;235;188;577
170;;233;168;599
171;;257;139;604
172;;269;142;589
173;;292;126;582
174;;292;125;583
175;;304;120;576
176;;344;119;537
177;;368;121;511
178;;379;156;465
179;;419;149;432
180;;431;164;405
181;;459;171;370
182;;477;177;346
183;;510;183;307
184;;513;198;289
185;;493;212;295
186;;477;232;291
187;;459;251;290
188;;449;255;296
189;;433;270;297
190;;410;288;302
191;;389;292;319
192;;379;253;368
193;;376;243;381
194;;357;228;415
195;;338;236;426
196;;314;239;447
197;;300;229;471
198;;292;218;490
199;;326;209;465
200;;302;223;475
201;;313;208;479
202;;302;207;491
203;;294;197;509
204;;294;189;517
205;;311;179;510
206;;342;196;462
207;;362;172;466
208;;390;174;436
209;;375;182;443
210;;395;169;436
211;;410;172;418
212;;412;191;397
213;;406;189;405
214;;404;201;395
215;;405;213;382
216;;393;218;389
217;;378;256;366
218;;388;251;361
219;;385;245;370
220;;370;245;385
221;;377;250;373
222;;334;279;387
223;;349;251;400
224;;347;228;425
225;;350;227;423
226;;343;221;436
227;;351;215;434
228;;335;214;451
229;;325;183;492
230;;350;181;469
231;;337;179;484
232;;347;175;478
233;;364;170;466
234;;372;168;460
235;;377;159;464
236;;383;155;462
237;;420;148;432
238;;455;138;407
239;;440;158;402
240;;462;147;391
241;;471;146;383
242;;469;158;373
243;;513;149;338
244;;489;182;329
245;;489;194;317
246;;465;202;333
247;;475;208;317
248;;468;218;314
249;;445;238;317
250;;443;253;304
251;;419;251;330
252;;426;242;332
253;;377;263;360
254;;366;279;355
255;;339;297;364
256;;320;284;396
257;;319;279;402
258;;307;260;433
259;;298;266;436
260;;300;235;465
261;;284;229;487
262;;268;217;515
263;;275;203;522
264;;280;188;532
265;;320;169;511
266;;324;168;508
267;;336;166;498
268;;317;175;508
269;;317;169;514
270;;358;155;487
271;;373;160;467
272;;403;168;429
273;;417;149;434
274;;450;149;401
275;;453;143;404
