"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,1980,20,0
1,,1980,20,0
2,,1980,20,0
3,,1980,20,0
4,,1980,20,0
5,,1936,64,0
6,,1936,64,0
7,,1936,64,0
8,,1827,173,0
9,,1827,173,0
10,,1827,173,0
11,,1827,173,0
12,,1827,173,0
13,,1550,450,0
14,,1024,956,20
15,,456,1524,20
16,,456,1524,20
17,,131,1849,20
18,,26,1910,64
19,,26,1910,64
20,,26,1910,64
21,,46,1801,153
22,,46,1801,153
23,,46,1801,153
24,,46,1801,153
25,,90,1801,109
26,,24,1590,386
27,,24,1064,912
28,,133,496,1371
29,,133,496,1371
30,,133,171,1696
31,,133,66,1801
32,,127,72,1801
33,,404,72,1524
34,,930,72,998
35,,1498,72,430
36,,1498,72,430
37,,1823,72,105
38,,1821,179,0
39,,1821,113,66
40,,1639,295,66
41,,1639,295,66
42,,1245,689,66
43,,1245,689,66
44,,667,1267,66
45,,667,1261,72
46,,733,1261,6
47,,733,1261,6
48,,254,1740,6
49,,254,1740,6
50,,50,1944,6
51,,5,1882,113
52,,7,1886,107
53,,7,1704,289
54,,7,1704,289
55,,3,1314,683
56,,2,1315,683
57,,2,737,1261
58,,107,739,1154
59,,107,739,1154
60,,232,796,972
61,,232,317,1451
62,,626,317,1057
63,,626,113,1261
64,,1150,122,728
65,,1150,118,732
66,,1150,118,732
67,,1037,231,732
68,,1516,227,257
69,,1230,512,258
70,,1434,512,54
71,,1479,510,11
72,,1483,510,7
73,,1483,453,64
74,,1013,923,64
75,,458,1482,60
76,,459,1482,59
77,,459,1428,113
78,,461,1428,111
79,,461,1428,111
80,,173,1660,167
81,,173,1660,167
82,,173,1374,453
83,,173,1374,453
84,,227,1374,399
85,,61,1540,399
86,,20,1581,399
87,,133,1111,756
88,,133,552,1315
89,,419,552,1029
90,,248,723,1029
91,,248,723,1029
92,,107,864,1029
93,,107,519,1374
94,,577,519,904
95,,905,750,345
96,,464,1191,345
97,,464,1191,345
98,,158,1331,511
99,,158,1290,552
100,,503,1290,207
101,,152,1641,207
102,,152,1641,207
103,,152,1470,378
104,,43,1579,378
105,,175,1472,353
106,,85,1603,312
107,,23,1665,312
108,,4,1453,543
109,,4,1012,984
110,,175,1012,813
111,,175,706,1119
112,,316,706,978
113,,316,706,978
114,,316,355,1329
115,,547,355,1098
116,,988,355,657
117,,691,543,766
118,,997,509,494
119,,620,755,625
120,,620,693,687
121,,971,674,355
122,,971,674,355
123,,971,674,355
124,,1080,674,246
125,,1114,674,212
126,,1245,674,81
127,,1307,674,19
128,,766,1234,0
129,,239,1761,0
130,,44,1659,297
131,,5,1698,297
132,,5,1321,674
133,,5,1321,674
134,,5,1321,674
135,,5,1321,674
136,,5,1321,674
137,,300,1323,377
138,,300,1323,377
139,,469,1531,0
140,,469,1531,0
141,,469,971,560
142,,469,444,1087
143,,311,407,1282
144,,311,368,1321
145,,225,454,1321
146,,225,454,1321
147,,142,537,1321
148,,635,604,761
149,,1162,604,234
150,,863,1096,41
151,,361,1637,2
152,,361,1429,210
153,,361,1429,210
154,,361,1429,210
155,,361,1429,210
156,,361,1271,368
157,,116,1518,366
158,,116,1432,452
159,,239,1517,244
160,,239,1434,327
161,,239,1367,394
162,,75,1531,394
163,,233,1037,730
164,,89,640,1271
165,,175,640,1185
166,,89,726,1185
167,,127,771,1102
168,,123,842,1035
169,,123,842,1035
170,,617,595,788
171,,1158,595,247
172,,659,1009,332
173,,659,1009,332
174,,659,1009,332
175,,659,845,496
176,,343,1161,496
177,,360,1247,393
178,,360,1247,393
179,,208,1398,394
180,,56,1505,439
181,,16,1474,510
182,,180,1474,346
183,,180,1474,346
184,,324,1474,202
185,,324,975,701
186,,224,1161,615
187,,269,1161,570
188,,161,1340,499
189,,38,1147,815
190,,38,917,1045
191,,14,941,1045
192,,504,713,783
193,,504,561,935
194,,302,723,975
195,,161,864,975
196,,378,963,659
197,,386,1185,429
198,,155,1416,429
199,,392,1230,378
200,,544,1230,226
201,,210,1425,365
202,,210,1302,488
203,,75,1437,488
204,,75,1413,512
205,,75,1404,521
206,,261,1404,335
207,,66,1397,537
208,,245,1256,499
209,,368,1157,475
210,,121,1182,697
211,,57,1039,904
212,,34,1071,895
213,,34,1071,895
214,,217,716,1067
215,,253,821,926
216,,352,686,962
217,,574,686,740
218,,805,686,509
219,,805,686,509
220,,805,491,704
221,,1179,491,330
222,,1179,491,330
223,,1314,244,442
224,,1314,156,530
225,,1314,124,562
226,,1314,124,562
227,,1392,222,386
228,,1392,117,491
229,,1392,117,491
230,,1485,271,244
231,,1573,271,156
232,,1605,271,124
233,,1605,271,124
234,,1265,630,105
235,,1370,630,0
236,,1370,630,0
237,,1370,630,0
238,,1370,630,0
239,,741,1259,0
240,,741,1142,117
241,,741,1142,117
242,,741,1142,117
243,,741,988,271
244,,741,988,271
245,,299,1430,271
246,,68,1661,271
247,,185,1302,513
248,,185,1302,513
249,,185,1302,513
250,,339,1302,359
251,,101,1540,359
252,,101,911,988
253,,101,911,988
254,,404,967,629
255,,404,967,629
256,,404,967,629
257,,404,967,629
258,,172,757,1071
259,,801,526,673
260,,801,526,673
261,,801,526,673
262,,801,526,673
263,,801,526,673
264,,491,598,911
265,,933,598,469
266,,1164,598,238
267,,657,1049,294
268,,657,1049,294
269,,657,1049,294
270,,657,1049,294
271,,895,817,288
272,,895,817,288
273,,895,817,288
274,,470,1298,232
275,,153,1615,232
276,,153,1615,232
277,,153,1305,542
278,,294,1396,310
279,,294,1396,310
280,,87,1096,817
281,,87,1096,817
282,,25,1158,817
283,,25,1158,817
284,,335,1158,507
285,,335,1158,507
286,,335,1158,507
287,,624,895,481
288,,281,921,798
289,,124,1078,798
290,,48,1154,798
291,,48,1063,889
292,,48,1063,889
293,,48,856,1096
294,,498,887,615
295,,815,825,360
296,,373,1267,360
297,,114,1526,360
298,,205,1526,269
299,,58,1673,269
300,,220,1500,280
301,,51,1326,623
302,,113,1169,718
303,,40,1166,794
304,,9,1197,794
305,,2,1204,794
306,,2,1204,794
307,,219,1174,607
308,,414,1322,264
309,,571,880,549
310,,647,621,732
311,,647,621,732
312,,647,474,879
313,,421,655,924
314,,452,486,1062
315,,452,486,1062
316,,726,581,693
317,,985,550,465
318,,611,917,472
319,,395,1280,325
320,,176,1543,281
321,,214,1526,260
322,,69,1671,260
323,,94,1719,187
324,,49,1795,156
325,,56,1795,149
326,,56,1569,375
327,,14,1612,374
328,,148,1626,226
