"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,2940,60,0
1,,2887,113,0
2,,2807,193,0
3,,2720,280,0
4,,2658,342,0
5,,2463,537,0
6,,2249,751,0
7,,1944,1056,0
8,,1591,1296,113
9,,1233,1574,193
10,,970,1750,280
11,,674,1984,342
12,,467,1996,537
13,,333,1916,751
14,,237,1707,1056
15,,158,1433,1409
16,,122,1111,1767
17,,99,871,2030
18,,77,597,2326
19,,75,392,2533
20,,70,263,2667
21,,70,167,2763
22,,181,90,2729
23,,258,57,2685
24,,343,36,2621
25,,399,20,2581
26,,592,20,2388
27,,804,17,2179
28,,1107,19,1874
29,,1456,21,1523
30,,1814,18,1168
31,,2077,16,907
32,,2365,18,617
33,,2572,16,412
34,,2693,27,280
35,,2771,43,186
36,,2835,54,111
37,,2831,94,75
38,,2821,127,52
39,,2756,206,38
40,,2674,290,36
41,,2513,443,44
42,,2331,607,62
43,,2060,865,75
44,,1714,1174,112
45,,1464,1393,143
46,,1175,1601,224
47,,877,1817,306
48,,615,1915,470
49,,441,1909,650
50,,315,1766,919
51,,237,1495,1268
52,,180,1300,1520
53,,136,1057,1807
54,,120,773,2107
55,,124,518,2358
56,,128,356,2516
57,,138,231,2631
58,,172,159,2669
59,,198,109,2693
60,,279,63,2658
61,,361,49,2590
62,,526,41,2433
63,,701,34,2265
64,,974,29,1997
65,,1314,32,1654
66,,1563,28,1409
67,,1850,30,1120
68,,2119,59,822
69,,2361,80,559
70,,2494,116,390
71,,2590,150,260
72,,2615,194,191
73,,2606,257,137
74,,2527,380,93
75,,2391,501,108
76,,2122,757,121
77,,1856,994,150
78,,1591,1230,179
79,,1297,1477,226
80,,991,1724,285
81,,736,1854,410
82,,547,1893,560
83,,352,1811,837
84,,279,1611,1110
85,,199,1421,1380
86,,165,1164,1671
87,,134,885,1981
88,,123,643,2234
89,,142,464,2394
90,,150,282,2568
91,,184,211,2605
92,,210,139,2651
93,,260,99,2641
94,,316,75,2609
95,,443,60,2497
96,,589,54,2357
97,,859,48,2093
98,,1133,45,1822
99,,1396,44,1560
100,,1690,47,1263
101,,1995,45,960
102,,2245,52,703
103,,2420,62,518
104,,2558,112,330
105,,2620,124,256
106,,2627,190,183
107,,2601,253,146
108,,2530,350,120
109,,2356,532,112
110,,2153,731,116
111,,1949,891,160
112,,1678,1153,169
113,,1375,1391,234
114,,1011,1689,300
115,,726,1879,395
116,,522,1894,584
117,,391,1816,793
118,,268,1729,1003
119,,205,1518,1277
120,,152,1267,1581
121,,124,934,1942
122,,115,656,2229
123,,107,467,2426
124,,114,339,2547
125,,162,218,2620
126,,174,155,2671
127,,245,97,2658
128,,308,69,2623
129,,408,57,2535
130,,594,45,2361
131,,804,41,2155
132,,1011,42,1947
133,,1290,37,1673
134,,1598,38,1364
135,,1965,32,1003
136,,2240,47,713
137,,2426,62,512
138,,2525,95,380
139,,2616,124,260
140,,2603,205,192
141,,2574,291,135
142,,2489,410,101
143,,2345,551,104
144,,2151,742,107
145,,1903,961,136
146,,1641,1193,166
147,,1289,1469,242
148,,1010,1661,329
149,,759,1799,442
150,,535,1867,598
151,,393,1803,804
152,,272,1672,1056
153,,212,1471,1317
154,,172,1154,1674
155,,145,903,1952
