"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,2940,60,0
1,,2896,104,0
2,,2848,152,0
3,,2787,213,0
4,,2694,306,0
5,,2498,502,0
6,,2313,687,0
7,,2106,894,0
8,,1754,1142,104
9,,1347,1501,152
10,,1100,1687,213
11,,792,1902,306
12,,538,1960,502
13,,369,1944,687
14,,285,1821,894
15,,207,1547,1246
16,,155,1192,1653
17,,137,963,1900
18,,116,676,2208
19,,102,436,2462
20,,96,273,2631
21,,94,191,2715
22,,194,117,2689
23,,238,69,2693
24,,299,51,2650
25,,389,33,2578
26,,581,23,2396
27,,766,17,2217
28,,973,15,2012
29,,1320,16,1664
30,,1716,23,1261
31,,1955,31,1014
32,,2263,28,709
33,,2488,53,459
34,,2650,60,290
35,,2717,77,206
36,,2748,119,133
37,,2761,147,92
38,,2729,189,82
39,,2660,279,61
40,,2499,425,76
41,,2298,625,77
42,,2033,875,92
43,,1756,1109,135
44,,1540,1290,170
45,,1230,1550,220
46,,910,1783,307
47,,652,1870,478
48,,497,1818,685
49,,371,1677,952
50,,267,1505,1228
51,,226,1337,1437
52,,174,1087,1739
53,,150,788,2062
54,,163,542,2295
55,,147,410,2443
56,,151,297,2552
57,,187,199,2614
58,,226,147,2627
59,,268,95,2637
60,,353,76,2571
61,,522,66,2412
62,,729,43,2228
63,,987,39,1974
64,,1264,32,1704
65,,1482,34,1484
66,,1778,40,1182
67,,2091,45,864
68,,2337,55,608
69,,2475,72,453
70,,2569,95,336
71,,2645,124,231
72,,2652,167,181
73,,2668,197,135
74,,2529,350,121
75,,2313,566,121
76,,2059,826,115
77,,1781,1085,134
78,,1490,1354,156
79,,1193,1606,201
80,,899,1864,237
81,,651,1954,395
82,,475,1904,621
83,,336,1766,898
84,,251,1569,1180
85,,182,1340,1478
86,,139,1088,1773
87,,128,811,2061
88,,120,576,2304
89,,126,404,2470
90,,139,269,2592
91,,156,190,2654
92,,183,123,2694
93,,220,86,2694
94,,263,62,2675
95,,422,48,2530
96,,653,39,2308
97,,926,39,2035
98,,1215,26,1759
99,,1517,20,1463
100,,1804,22,1174
101,,2100,27,873
102,,2353,23,624
103,,2535,22,443
104,,2667,25,308
105,,2761,23,216
106,,2827,30,143
107,,2859,33,108
108,,2873,38,89
109,,2862,67,71
110,,2824,115,61
111,,2784,152,64
112,,2716,235,49
113,,2662,288,50
114,,2539,406,55
115,,2394,541,65
116,,2166,744,90
117,,1859,1004,137
118,,1571,1252,177
119,,1280,1462,258
120,,935,1747,318
121,,690,1871,439
122,,517,1904,579
123,,343,1846,811
124,,241,1640,1119
125,,175,1421,1404
126,,139,1164,1697
127,,121,844,2035
128,,123,600,2277
129,,118,437,2445
130,,141,269,2590
131,,183,173,2644
132,,212,115,2673
133,,290,84,2626
134,,346,63,2591
135,,472,57,2471
136,,617,42,2341
137,,839,46,2115
138,,1125,62,1813
139,,1411,53,1536
140,,1703,49,1248
141,,2042,51,907
142,,2280,63,657
143,,2392,129,479
144,,2539,146,315
145,,2521,244,235
146,,2517,315,168
147,,2364,503,133
148,,2135,751,114
149,,1920,960,120
150,,1631,1198,171
151,,1331,1477,192
152,,1059,1635,306
153,,821,1811,368
154,,593,1855,552
155,,397,1801,802
156,,290,1687,1023
157,,216,1457,1327
158,,171,1206,1623
159,,154,967,1879
160,,136,738,2126
161,,118,524,2358
162,,115,333,2552
163,,124,229,2647
164,,181,164,2655
165,,204,113,2683
166,,324,74,2602
167,,399,52,2549
168,,583,38,2379
169,,831,35,2134
170,,1057,27,1916
171,,1359,20,1621
172,,1661,20,1319
173,,1931,28,1041
174,,2165,45,790
175,,2375,63,562
176,,2558,74,368
177,,2651,93,256
178,,2670,146,184
179,,2672,195,133
180,,2656,242,102
181,,2554,349,97
182,,2441,458,101
183,,2273,618,109
184,,2013,867,120
185,,1659,1175,166
186,,1284,1501,215
187,,936,1794,270
188,,627,1979,394
189,,468,2011,521
190,,328,1980,692
191,,236,1804,960
192,,162,1517,1321
193,,131,1173,1696
194,,113,851,2036
195,,120,552,2328
196,,132,399,2469
197,,136,266,2598
198,,148,181,2671
199,,198,110,2692
200,,248,78,2674
201,,302,53,2645
202,,428,41,2531
203,,556,34,2410
204,,731,23,2246
205,,999,16,1985
206,,1363,10,1627
207,,1742,7,1251
208,,2090,6,904
209,,2401,6,593
210,,2565,2,433
211,,2711,0,289
212,,2803,0,197
213,,2880,0,120
214,,2915,0,85
215,,2941,0,59
216,,2953,0,47
217,,2964,0,36
218,,2977,0,23
219,,2984,0,16
220,,2990,0,10
221,,2993,0,7
222,,2994,0,6
223,,2994,0,6
224,,2998,0,2
225,,3000,0,0
