"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,2940,60,0
1,,2842,158,0
2,,2713,287,0
3,,2328,672,0
4,,2002,998,0
5,,1203,1797,0
6,,622,2378,0
7,,273,2727,0
8,,87,2755,158
9,,30,2683,287
10,,13,2315,672
11,,5,1997,998
12,,2,1201,1797
13,,2,620,2378
14,,1,272,2727
15,,1,86,2913
16,,1,29,2970
17,,1,12,2987
18,,1,4,2995
19,,1,1,2998
20,,1,1,2998
21,,1,0,2999
22,,159,0,2841
23,,288,0,2712
24,,673,0,2327
25,,999,0,2001
26,,1798,0,1202
27,,2379,0,621
28,,2728,0,272
29,,2914,0,86
30,,2971,0,29
31,,2988,0,12
32,,2996,0,4
33,,2999,0,1
34,,2999,0,1
35,,3000,0,0
