"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,3920,80,0
1,,3869,131,0
2,,3810,190,0
3,,3720,280,0
4,,3517,483,0
5,,3240,760,0
6,,2885,1115,0
7,,2270,1730,0
8,,1667,2202,131
9,,1083,2727,190
10,,633,3087,280
11,,390,3127,483
12,,207,3033,760
13,,121,2764,1115
14,,77,2193,1730
15,,51,1616,2333
16,,36,1047,2917
17,,29,604,3367
18,,24,366,3610
19,,21,186,3793
20,,21,100,3879
21,,21,56,3923
22,,151,31,3818
23,,210,16,3774
24,,298,11,3691
25,,501,6,3493
26,,778,3,3219
27,,1128,8,2864
28,,1743,8,2249
29,,2346,7,1647
30,,2930,7,1063
31,,3345,40,615
32,,3565,63,372
33,,3702,109,189
34,,3697,195,108
35,,3641,295,64
36,,3489,473,38
37,,3293,684,23
38,,2833,1116,51
39,,2272,1659,69
40,,1746,2142,112
41,,1135,2662,203
42,,741,2956,303
43,,459,3061,480
44,,252,3057,691
45,,129,2715,1156
46,,72,2206,1722
47,,49,1700,2251
48,,36,1107,2857
49,,30,719,3251
50,,26,440,3534
51,,25,234,3741
52,,59,110,3831
53,,82,53,3865
54,,128,30,3842
55,,219,12,3769
56,,319,6,3675
57,,496,3,3501
58,,707,2,3291
59,,1174,1,2825
60,,1740,1,2259
61,,2269,1,1730
62,,2880,1,1119
63,,3274,1,725
64,,3557,0,443
65,,3764,0,236
66,,3889,0,111
67,,3946,0,54
68,,3969,0,31
69,,3987,0,13
70,,3993,0,7
71,,3997,0,3
72,,3998,0,2
73,,3999,0,1
74,,3999,0,1
75,,3999,0,1
76,,3999,0,1
77,,3999,0,1
78,,4000,0,0
