"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,3920,80,0
1,,3897,103,0
2,,3886,114,0
3,,3856,144,0
4,,3831,169,0
5,,3798,202,0
6,,3780,220,0
7,,3758,242,0
8,,3728,169,103
9,,3700,186,114
10,,3668,188,144
11,,3626,205,169
12,,3593,205,202
13,,3542,238,220
14,,3494,264,242
15,,3431,297,272
16,,3388,312,300
17,,3332,336,332
18,,3287,339,374
19,,3228,365,407
20,,3182,360,458
21,,3151,343,506
22,,3233,301,466
23,,3193,309,498
24,,3143,333,524
25,,3116,340,544
26,,3103,327,570
27,,3097,305,598
28,,3083,310,607
29,,3073,329,598
30,,3052,327,621
31,,3027,304,669
32,,3015,306,679
33,,3024,284,692
34,,3027,308,665
35,,3049,298,653
36,,3075,295,630
37,,3064,300,636
38,,3063,300,637
39,,3066,288,646
40,,3105,284,611
41,,3097,290,613
42,,3106,286,608
43,,3084,292,624
44,,3073,300,627
45,,3118,278,604
46,,3124,282,594
47,,3112,320,568
48,,3094,308,598
49,,3079,337,584
50,,3068,345,587
51,,3069,331,600
52,,3073,349,578
53,,3091,339,570
54,,3078,318,604
55,,3071,331,598
56,,3041,336,623
57,,3028,335,637
58,,3018,351,631
59,,3034,339,627
60,,3022,357,621
61,,2984,378,638
62,,2992,369,639
63,,2971,356,673
64,,2963,357,680
65,,2956,362,682
66,,2946,366,688
67,,2936,368,696
68,,2947,357,696
69,,2940,360,700
70,,2946,362,692
71,,2944,364,692
72,,2950,337,713
73,,2972,323,705
74,,2944,331,725
75,,2952,313,735
76,,2968,303,729
77,,2960,322,718
78,,2954,325,721
79,,2976,325,699
80,,2965,346,689
81,,2975,326,699
82,,2972,358,670
83,,2981,356,663
84,,2999,317,684
85,,3022,289,689
86,,3054,284,662
87,,3064,267,669
88,,3071,272,657
89,,3103,226,671
90,,3140,201,659
91,,3162,199,639
92,,3199,187,614
93,,3207,184,609
94,,3208,179,613
95,,3235,167,598
96,,3222,194,584
97,,3209,234,557
98,,3248,236,516
99,,3250,274,476
100,,3254,278,468
101,,3264,290,446
102,,3258,303,439
103,,3286,294,420
104,,3256,309,435
105,,3228,337,435
106,,3214,325,461
107,,3200,338,462
108,,3201,330,469
109,,3208,322,470
110,,3190,322,488
111,,3127,330,543
112,,3107,320,573
113,,3087,314,599
114,,3084,300,616
115,,3072,308,620
116,,3049,326,625
117,,3025,359,616
118,,3031,330,639
119,,3004,339,657
120,,3014,347,639
121,,2985,377,638
122,,2985,377,638
123,,3018,334,648
124,,3007,312,681
125,,3021,319,660
126,,3012,329,659
127,,3028,311,661
128,,3030,293,677
129,,3033,282,685
130,,3057,283,660
131,,3047,282,671
132,,3090,261,649
133,,3100,232,668
134,,3120,222,658
135,,3108,222,670
136,,3111,230,659
137,,3135,248,617
138,,3163,243,594
139,,3195,225,580
140,,3216,223,561
141,,3215,252,533
142,,3240,245,515
143,,3245,243,512
144,,3237,232,531
145,,3233,242,525
146,,3250,264,486
147,,3293,252,455
148,,3292,234,474
149,,3287,246,467
150,,3281,246,473
151,,3247,273,480
152,,3242,273,485
153,,3256,255,489
154,,3259,266,475
155,,3243,271,486
156,,3256,253,491
157,,3254,257,489
158,,3237,258,505
159,,3227,258,515
160,,3209,272,519
161,,3211,271,518
162,,3220,275,505
163,,3223,278,499
164,,3233,264,503
165,,3231,238,531
166,,3245,224,531
167,,3239,234,527
168,,3217,246,537
169,,3214,240,546
170,,3226,243,531
171,,3221,258,521
172,,3225,279,496
173,,3216,302,482
174,,3169,325,506
175,,3132,351,517
176,,3133,352,515
177,,3124,355,521
178,,3113,365,522
179,,3107,376,517
180,,3106,368,526
181,,3065,376,559
182,,3053,350,597
183,,3051,357,592
184,,3061,341,598
185,,3030,347,623
186,,2995,350,655
187,,2965,365,670
188,,2965,334,701
189,,2959,340,701
190,,2948,343,709
191,,2952,352,696
192,,2963,325,712
193,,2950,324,726
194,,2974,293,733
