"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,3920,80,0
1,,3755,245,0
2,,3435,565,0
3,,2743,1257,0
4,,1550,2450,0
5,,671,3329,0
6,,211,3789,0
7,,58,3942,0
8,,11,3744,245
9,,3,3432,565
10,,1,2742,1257
11,,0,1550,2450
12,,0,671,3329
13,,0,211,3789
14,,0,58,3942
15,,0,11,3989
16,,0,3,3997
17,,0,1,3999
18,,0,0,4000
19,,0,0,4000
20,,0,0,4000
21,,0,0,4000
22,,245,0,3755
23,,565,0,3435
24,,1257,0,2743
25,,2450,0,1550
26,,3329,0,671
27,,3789,0,211
28,,3942,0,58
29,,3989,0,11
30,,3997,0,3
31,,3999,0,1
32,,4000,0,0
