"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,3960,40,0
1,,3960,40,0
2,,3826,174,0
3,,3826,174,0
4,,3270,730,0
5,,3270,730,0
6,,3270,730,0
7,,1704,2296,0
8,,229,3771,0
9,,6,3994,0
10,,6,3994,0
11,,6,3994,0
12,,6,3994,0
13,,0,4000,0
14,,0,4000,0
15,,0,4000,0
16,,0,3960,40
17,,0,3826,174
18,,0,3826,174
19,,0,3270,730
20,,0,3270,730
21,,0,3270,730
22,,0,1704,2296
23,,40,229,3731
24,,174,6,3820
25,,174,6,3820
26,,729,7,3264
27,,729,7,3264
28,,729,1,3270
29,,2295,1,1704
30,,3770,1,229
31,,3989,5,6
32,,3971,23,6
33,,3971,23,6
34,,3971,23,6
35,,3977,23,0
36,,3977,23,0
37,,3886,114,0
38,,3886,114,0
39,,3503,497,0
40,,2204,1796,0
41,,2204,1795,1
42,,458,3541,1
43,,458,3541,1
44,,458,3541,1
45,,458,3541,1
46,,458,3537,5
47,,8,3969,23
48,,1,3977,22
49,,1,3977,22
50,,1,3977,22
51,,1,3977,22
52,,1,3886,113
53,,5,3886,109
54,,18,3508,474
55,,1,2226,1773
56,,0,2227,1773
57,,0,481,3519
58,,0,481,3519
59,,91,481,3428
60,,91,481,3428
61,,474,481,3045
62,,1614,190,2196
63,,1365,431,2204
64,,3111,431,458
65,,3111,431,458
66,,3111,431,458
67,,3111,431,458
68,,2084,1458,458
69,,1003,2984,13
70,,1011,2967,22
71,,1011,2966,23
72,,1011,2966,23
73,,60,3917,23
74,,60,3917,23
75,,3,3974,23
76,,8,3974,18
77,,25,3815,160
78,,2,3590,408
79,,0,3592,408
80,,0,3592,408
81,,0,3592,408
82,,0,3592,408
83,,0,2565,1435
84,,159,1034,2807
85,,408,1034,2558
86,,408,1034,2558
87,,408,1034,2558
88,,156,335,3509
89,,156,335,3509
90,,1183,278,2539
91,,2714,278,1008
92,,2714,278,1008
93,,2714,254,1032
94,,2714,252,1034
95,,3114,803,83
96,,3114,803,83
97,,1572,2402,26
98,,1572,2402,26
99,,1572,2402,26
100,,1596,2402,2
101,,1598,2402,0
102,,1598,2402,0
103,,174,3574,252
104,,9,3739,252
105,,1,3747,252
106,,1,3747,252
107,,1,3747,252
108,,1,3747,252
109,,1,3747,252
110,,253,3196,551
111,,14,3435,551
112,,14,1836,2150
113,,14,1836,2150
114,,4,1846,2150
115,,1,1849,2150
116,,0,1850,2150
117,,551,1850,1599
118,,551,426,3023
119,,2150,261,1589
120,,2150,253,1597
121,,2150,253,1597
122,,1718,685,1597
123,,1718,685,1597
124,,925,1478,1597
125,,1682,2145,173
126,,1847,1906,247
127,,1855,1906,239
128,,333,3428,239
129,,13,3738,249
130,,1,3747,252
131,,0,3747,253
132,,0,3747,253
133,,239,3747,14
134,,239,3747,14
135,,239,3747,14
136,,249,3747,4
137,,252,3315,433
138,,253,3315,432
139,,9,2766,1225
140,,0,2108,1892
141,,0,2108,1892
142,,0,2108,1892
143,,0,586,3414
144,,432,266,3302
145,,432,254,3314
146,,1225,253,2522
147,,1892,253,1855
148,,1892,253,1855
149,,1506,639,1855
150,,3028,639,333
151,,1948,2039,13
152,,1960,2039,1
153,,254,3746,0
154,,254,3502,244
155,,254,3493,253
156,,15,3732,253
157,,15,3732,253
158,,0,3747,253
159,,0,3747,253
160,,0,3747,253
161,,244,3747,9
162,,12,3988,0
163,,12,3988,0
164,,0,3614,386
165,,0,3614,386
166,,0,2214,1786
167,,0,2214,1786
168,,0,507,3493
169,,0,507,3493
170,,0,507,3493
171,,386,268,3346
172,,297,357,3346
173,,1697,342,1961
174,,1207,832,1961
175,,2914,832,254
176,,2914,832,254
177,,2914,591,495
178,,1948,1796,256
179,,426,3306,268
180,,441,3306,253
181,,18,3729,253
182,,0,3747,253
183,,0,3747,253
184,,241,3747,12
185,,5,3983,12
186,,17,3983,0
187,,2,3909,89
188,,2,3909,89
189,,0,3421,579
190,,0,3421,579
191,,0,3421,579
192,,0,3421,579
193,,0,2216,1784
194,,89,694,3217
195,,89,694,3217
196,,579,271,3150
197,,579,253,3168
198,,579,253,3168
199,,476,356,3168
200,,1681,120,2199
201,,3203,120,677
202,,3203,105,692
203,,3626,105,269
204,,3644,103,253
205,,3290,457,253
206,,3290,457,253
207,,2373,1610,17
208,,589,3394,17
209,,44,3954,2
210,,44,3954,2
211,,46,3954,0
212,,46,3954,0
213,,46,3954,0
214,,46,3851,103
215,,46,3851,103
216,,46,3851,103
217,,46,3851,103
218,,46,3851,103
219,,1,3896,103
220,,1,3542,457
221,,103,3543,354
222,,6,2487,1507
223,,1,708,3291
224,,1,148,3851
225,,1,148,3851
226,,1,148,3851
227,,355,148,3497
228,,355,148,3497
229,,1462,194,2344
230,,3246,194,560
231,,3313,687,0
232,,3313,687,0
233,,1798,2202,0
234,,1798,2157,45
235,,1798,2157,45
236,,1798,2156,46
237,,1798,2059,143
238,,1798,2054,148
239,,1798,2054,148
240,,1798,2054,148
241,,329,3568,103
242,,12,3885,103
243,,2,3896,102
244,,99,3850,51
245,,104,3850,46
246,,5,3456,539
247,,5,3456,539
248,,0,1946,2054
249,,0,1946,2054
250,,0,1946,2054
251,,46,1946,2008
252,,46,1946,2008
253,,498,1987,1515
254,,498,1987,1515
255,,2013,1987,0
256,,2013,473,1514
257,,1326,843,1831
258,,597,1561,1842
259,,141,2017,1842
260,,15,2143,1842
261,,15,2044,1941
262,,1,2058,1941
263,,1514,2054,432
264,,1831,2054,115
265,,276,3620,104
266,,276,3620,104
267,,276,3620,104
268,,115,3839,46
269,,115,3839,46
270,,120,3839,41
271,,120,3839,41
272,,120,3152,728
273,,120,2423,1457
274,,120,1967,1913
275,,59,1943,1998
276,,59,1943,1998
277,,59,1929,2012
278,,59,1928,2013
279,,746,1928,1326
280,,855,982,2163
281,,1311,982,1707
282,,1437,982,1581
283,,1437,722,1841
284,,1451,722,1827
285,,1452,722,1826
286,,1452,722,1826
287,,2331,1409,260
288,,651,3089,260
289,,651,3089,260
290,,911,2987,102
291,,911,2987,102
292,,37,3861,102
293,,2,3896,102
294,,0,3898,102
295,,0,3278,722
296,,0,3278,722
297,,102,3278,620
298,,5,3375,620
299,,5,3375,620
300,,5,3375,620
301,,5,3375,620
302,,620,2693,687
303,,620,1013,2367
304,,246,1387,2367
305,,73,1560,2367
306,,73,1560,2367
307,,21,738,3241
308,,14,710,3276
309,,694,715,2591
310,,2374,715,911
311,,2374,715,911
312,,2374,715,911
313,,2374,618,1008
314,,2179,1687,134
315,,2214,1687,99
316,,2216,1687,97
317,,2216,1682,102
318,,443,3455,102
319,,443,3081,476
320,,128,3320,552
321,,128,3320,552
322,,128,3268,604
323,,128,3261,611
324,,133,3254,613
325,,12,3375,613
326,,386,3375,239
327,,559,3375,66
328,,559,3375,66
329,,77,2840,1083
330,,11,2913,1076
331,,8,2923,1069
332,,8,2923,1069
333,,0,1158,2842
334,,0,1158,2842
335,,0,746,3254
336,,1069,746,2185
337,,1069,746,2185
338,,570,1245,2185
339,,570,1245,2185
340,,2343,1124,533
341,,2343,1124,533
342,,1255,2624,121
343,,118,3761,121
344,,4,3341,655
345,,4,3268,728
346,,1,3261,738
347,,122,3261,617
