"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,490,10,0
1,,490,10,0
2,,480,20,0
3,,480,20,0
4,,480,20,0
5,,474,26,0
6,,470,30,0
7,,470,30,0
8,,464,26,10
9,,463,17,20
10,,463,17,20
11,,459,21,20
12,,459,15,26
13,,452,18,30
14,,449,21,30
15,,443,21,36
16,,433,30,37
17,,433,30,37
18,,427,32,41
19,,423,36,41
20,,423,29,48
21,,415,34,51
22,,421,32,47
23,,422,31,47
24,,422,31,47
25,,422,25,53
26,,425,24,51
27,,418,35,47
28,,406,39,55
29,,412,35,53
30,,400,39,61
31,,397,42,61
32,,396,47,57
33,,395,45,60
34,,402,34,64
35,,401,26,73
36,,402,31,67
37,,408,22,70
38,,407,20,73
39,,413,15,72
40,,414,17,69
41,,411,20,69
42,,412,23,65
43,,416,18,66
44,,421,18,61
45,,413,25,62
46,,409,29,62
47,,401,37,62
48,,400,46,54
49,,412,39,49
50,,412,39,49
51,,421,39,40
52,,416,39,45
53,,421,35,44
54,,419,27,54
55,,412,22,66
56,,407,31,62
57,,407,36,57
58,,410,33,57
59,,411,25,64
60,,410,26,64
61,,410,26,64
62,,413,19,68
63,,417,13,70
64,,407,18,75
65,,406,22,72
66,,414,22,64
67,,413,26,61
68,,423,24,53
69,,426,33,41
70,,425,31,44
71,,423,23,54
72,,427,18,55
73,,432,21,47
74,,426,22,52
75,,427,23,50
76,,430,18,52
77,,439,17,44
78,,430,29,41
79,,427,33,40
80,,423,34,43
81,,418,34,48
82,,418,35,47
83,,413,36,51
84,,414,38,48
85,,419,29,52
86,,419,30,51
87,,405,40,55
88,,398,46,56
89,,394,48,58
90,,391,55,54
91,,389,56,55
92,,378,64,58
93,,360,77,63
94,,350,76,74
95,,354,66,80
96,,346,71,83
97,,344,65,91
98,,325,81,94
99,,331,76,93
100,,317,76,107
101,,307,77,116
102,,308,80,112
103,,300,81,119
104,,301,79,120
105,,297,66,137
106,,296,64,140
107,,293,54,153
108,,303,44,153
109,,307,47,146
110,,308,40,152
111,,317,39,144
112,,311,42,147
113,,321,39,140
114,,335,35,130
115,,348,31,121
116,,344,29,127
117,,342,37,121
118,,340,42,118
119,,347,45,108
120,,346,51,103
121,,361,50,89
122,,375,50,75
123,,380,44,76
124,,387,36,77
125,,391,28,81
126,,397,16,87
127,,403,7,90
128,,411,4,85
129,,415,4,81
130,,423,4,73
131,,427,0,73
132,,430,0,70
133,,439,0,61
134,,442,0,58
135,,446,0,54
136,,446,0,54
137,,452,0,48
138,,464,0,36
139,,472,0,28
140,,484,0,16
141,,493,0,7
142,,496,0,4
143,,496,0,4
144,,496,0,4
145,,500,0,0
