"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,490,10,0
1,,487,13,0
2,,487,13,0
3,,486,14,0
4,,485,15,0
5,,484,16,0
6,,482,18,0
7,,479,21,0
8,,477,10,13
9,,477,10,13
10,,477,9,14
11,,477,8,15
12,,477,7,16
13,,475,7,18
14,,472,7,21
15,,471,6,23
16,,467,10,23
17,,467,10,23
18,,466,11,23
19,,465,12,23
20,,465,10,25
21,,465,7,28
22,,478,6,16
23,,478,2,20
24,,479,2,19
25,,480,1,19
26,,481,0,19
27,,483,0,17
28,,486,0,14
29,,488,0,12
30,,488,0,12
31,,488,0,12
32,,488,0,12
33,,488,0,12
34,,490,0,10
35,,493,0,7
36,,494,0,6
37,,498,0,2
38,,498,0,2
39,,499,0,1
40,,500,0,0
