"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,490,10,0
1,,490,10,0
2,,475,25,0
3,,475,25,0
4,,466,34,0
5,,459,41,0
6,,449,51,0
7,,439,61,0
8,,432,58,10
9,,421,54,25
10,,409,66,25
11,,397,69,34
12,,387,72,41
13,,374,75,51
14,,361,78,61
15,,353,79,68
16,,349,72,79
17,,332,77,91
18,,327,70,103
19,,323,64,113
20,,311,63,126
21,,311,50,139
22,,316,47,137
23,,322,52,126
24,,320,37,143
25,,323,38,139
26,,325,39,136
27,,328,34,138
28,,334,38,128
29,,340,34,126
30,,349,27,124
31,,359,27,114
32,,370,22,108
33,,377,20,103
34,,390,13,97
35,,395,17,88
36,,403,16,81
37,,402,19,79
38,,419,17,64
39,,424,16,60
40,,425,16,59
41,,430,23,47
42,,425,20,55
43,,430,20,50
44,,434,20,46
45,,432,24,44
46,,434,28,38
47,,439,25,36
48,,444,20,36
49,,446,17,37
50,,444,20,36
51,,438,23,39
52,,430,29,41
53,,423,33,44
54,,423,36,41
55,,422,35,43
56,,423,40,37
57,,408,52,40
58,,408,49,43
59,,390,57,53
60,,375,64,61
61,,367,72,61
62,,357,88,55
63,,351,92,57
64,,340,88,72
65,,335,93,72
66,,321,93,86
67,,316,87,97
68,,304,88,108
69,,294,83,123
70,,282,86,132
71,,270,90,140
72,,269,89,142
73,,265,85,150
74,,254,95,151
75,,247,93,160
76,,241,88,171
77,,238,84,178
78,,246,76,178
79,,238,80,182
80,,248,74,178
81,,252,66,182
82,,251,68,181
83,,262,67,171
84,,258,72,170
85,,269,65,166
86,,278,53,169
87,,289,52,159
88,,297,42,161
89,,305,34,161
90,,310,35,155
91,,319,25,156
92,,334,25,141
93,,343,24,133
94,,355,19,126
95,,368,24,108
96,,374,24,102
97,,380,18,102
98,,385,18,97
99,,392,18,90
100,,402,21,77
101,,409,20,71
102,,419,15,66
103,,428,14,58
104,,432,15,53
105,,444,13,43
106,,438,19,43
107,,439,16,45
108,,434,27,39
109,,430,31,39
110,,432,30,38
111,,424,43,33
112,,424,45,31
113,,409,54,37
114,,400,63,37
115,,388,65,47
116,,385,69,46
117,,379,77,44
118,,372,70,58
119,,372,70,58
120,,355,72,73
121,,346,75,79
122,,334,74,92
123,,330,70,100
124,,322,71,107
125,,323,64,113
126,,315,70,115
127,,305,69,126
128,,301,61,138
129,,312,49,139
130,,309,52,139
131,,311,41,148
132,,322,44,134
133,,322,38,140
134,,333,26,141
135,,331,33,136
136,,343,34,123
137,,349,29,122
138,,355,33,112
139,,363,29,108
140,,366,26,108
141,,374,31,95
142,,382,24,94
143,,390,27,83
144,,392,27,81
145,,402,24,74
146,,397,30,73
147,,408,28,64
148,,414,29,57
149,,411,32,57
150,,409,30,61
151,,412,32,56
152,,412,31,57
153,,416,25,59
154,,418,28,54
155,,412,28,60
156,,420,24,56
157,,422,21,57
158,,421,20,59
159,,422,23,55
160,,414,31,55
161,,407,37,56
162,,416,27,57
163,,416,28,56
164,,421,28,51
165,,423,25,52
166,,416,30,54
167,,413,31,56
168,,409,26,65
169,,414,31,55
170,,419,29,52
171,,411,40,49
172,,403,52,45
173,,386,61,53
174,,379,59,62
175,,370,67,63
176,,374,68,58
177,,377,66,57
178,,367,65,68
179,,346,77,77
180,,343,66,91
181,,341,69,90
182,,343,64,93
183,,339,62,99
184,,336,69,95
185,,330,65,105
186,,325,46,129
187,,320,53,127
188,,316,56,128
189,,306,63,131
190,,304,66,130
191,,296,69,135
192,,303,67,130
193,,314,63,123
194,,327,54,119
195,,334,41,125
196,,345,28,127
197,,350,22,128
198,,350,12,138
199,,354,14,132
200,,379,12,109
201,,382,11,107
202,,392,11,97
203,,398,11,91
204,,398,14,88
205,,400,19,81
206,,406,13,81
207,,410,15,75
208,,416,19,65
209,,429,19,52
210,,443,18,39
211,,450,14,36
212,,454,15,31
213,,458,15,27
214,,456,17,27
215,,460,10,30
216,,460,10,30
217,,458,13,29
218,,459,13,28
219,,459,7,34
220,,465,7,28
221,,465,3,32
222,,468,3,29
223,,464,7,29
224,,465,4,31
225,,469,4,27
226,,474,4,22
227,,474,4,22
228,,468,12,20
229,,475,12,13
230,,471,12,17
231,,471,12,17
232,,467,16,17
233,,473,16,11
234,,473,16,11
235,,473,12,15
236,,473,12,15
237,,467,14,19
238,,467,17,16
239,,467,13,20
240,,465,15,20
241,,465,15,20
242,,451,25,24
243,,444,32,24
244,,446,28,26
245,,446,25,29
246,,438,33,29
247,,431,38,31
248,,431,38,31
249,,435,28,37
250,,434,22,44
251,,435,23,42
252,,433,25,42
253,,433,21,46
254,,432,15,53
255,,424,23,53
256,,428,19,53
257,,427,19,54
258,,432,17,51
259,,435,15,50
260,,429,17,54
261,,430,17,53
262,,430,9,61
263,,444,9,47
264,,451,8,41
265,,453,7,40
266,,449,11,40
267,,457,5,38
268,,462,6,32
269,,459,9,32
270,,459,13,28
271,,458,15,27
272,,460,16,24
273,,462,12,26
274,,466,12,22
275,,467,10,23
276,,473,9,18
277,,473,5,22
278,,474,3,23
279,,475,2,23
280,,475,2,23
281,,481,2,17
282,,482,2,16
283,,482,0,18
284,,482,0,18
285,,482,0,18
286,,482,0,18
287,,486,0,14
288,,486,0,14
289,,488,0,12
290,,491,0,9
291,,495,0,5
292,,497,0,3
293,,498,0,2
294,,498,0,2
295,,498,0,2
296,,498,0,2
297,,500,0,0
