"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,4900,100,0
1,,4873,127,0
2,,4831,169,0
3,,4791,209,0
4,,4731,269,0
5,,4689,311,0
6,,4608,392,0
7,,4557,443,0
8,,4466,407,127
9,,4406,425,169
10,,4309,482,209
11,,4190,541,269
12,,4098,591,311
13,,3998,610,392
14,,3876,681,443
15,,3759,707,534
16,,3637,769,594
17,,3490,819,691
18,,3379,811,810
19,,3277,821,902
20,,3165,833,1002
21,,3053,823,1124
22,,3082,804,1114
23,,3016,790,1194
24,,2941,758,1301
25,,2915,733,1352
26,,2892,696,1412
27,,2890,667,1443
28,,2850,646,1504
29,,2870,619,1511
30,,2856,585,1559
31,,2899,524,1577
32,,2959,497,1544
33,,2967,516,1517
34,,3011,489,1500
35,,3045,486,1469
36,,3100,477,1423
37,,3152,473,1375
38,,3249,469,1282
39,,3277,493,1230
40,,3283,505,1212
41,,3347,497,1156
42,,3391,477,1132
43,,3413,491,1096
44,,3465,477,1058
45,,3501,506,993
46,,3507,503,990
47,,3492,487,1021
48,,3512,502,986
49,,3493,544,963
50,,3484,548,968
51,,3503,547,950
52,,3487,538,975
53,,3471,533,996
54,,3460,548,992
55,,3445,556,999
56,,3418,561,1021
57,,3418,543,1039
58,,3428,548,1024
59,,3400,556,1044
60,,3415,549,1036
61,,3427,538,1035
62,,3390,552,1058
63,,3391,504,1105
64,,3336,573,1091
65,,3299,606,1095
66,,3284,622,1094
67,,3259,659,1082
68,,3216,698,1086
69,,3171,721,1108
70,,3215,720,1065
71,,3171,713,1116
72,,3135,711,1154
73,,3114,708,1178
74,,3064,728,1208
75,,3101,663,1236
76,,3091,636,1273
77,,3120,656,1224
78,,3096,618,1286
79,,3070,613,1317
80,,3103,567,1330
81,,3095,518,1387
82,,3070,569,1361
83,,3056,587,1357
84,,3023,601,1376
85,,3077,592,1331
86,,3085,591,1324
87,,3118,607,1275
88,,3164,590,1246
89,,3197,571,1232
90,,3237,540,1223
91,,3206,537,1257
92,,3274,516,1210
93,,3261,535,1204
94,,3259,567,1174
95,,3313,579,1108
96,,3289,571,1140
97,,3281,592,1127
98,,3300,562,1138
99,,3329,563,1108
100,,3362,512,1126
101,,3318,508,1174
102,,3301,530,1169
103,,3308,550,1142
104,,3333,535,1132
105,,3368,533,1099
106,,3341,580,1079
107,,3331,622,1047
108,,3307,618,1075
109,,3250,641,1109
110,,3232,647,1121
111,,3186,687,1127
112,,3196,709,1095
113,,3157,700,1143
114,,3172,694,1134
115,,3187,687,1126
116,,3171,658,1171
117,,3117,686,1197
118,,3112,666,1222
119,,3089,669,1242
120,,3053,667,1280
121,,2998,686,1316
122,,3007,688,1305
123,,3006,695,1299
124,,3016,651,1333
125,,3024,623,1353
126,,3008,614,1378
127,,3038,595,1367
128,,3078,542,1380
129,,3087,538,1375
130,,3124,523,1353
131,,3186,477,1337
132,,3233,478,1289
