"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,4950,50,0
1,,4950,50,0
2,,4950,50,0
3,,4950,50,0
4,,4723,277,0
5,,4723,277,0
6,,4723,277,0
7,,4723,277,0
8,,3652,1348,0
9,,3652,1348,0
10,,1042,3958,0
11,,1042,3958,0
12,,1042,3958,0
13,,25,4975,0
14,,0,5000,0
15,,0,5000,0
16,,0,4950,50
17,,0,4950,50
18,,0,4950,50
19,,0,4723,277
20,,0,4723,277
21,,0,4723,277
22,,0,4723,277
23,,50,3652,1298
24,,50,3652,1298
25,,0,1092,3908
26,,227,1092,3681
27,,78,1241,3681
28,,26,276,4698
29,,26,251,4723
30,,1097,251,3652
31,,1097,251,3652
32,,3487,471,1042
33,,3487,471,1042
34,,2204,1754,1042
35,,3221,1754,25
36,,3246,1754,0
37,,3246,1754,0
38,,3246,1754,0
39,,3246,1754,0
40,,621,4329,50
41,,22,4928,50
42,,22,4779,199
43,,0,4749,251
44,,0,4749,251
45,,0,4749,251
46,,0,4749,251
47,,50,4529,421
48,,50,4529,421
49,,199,3246,1555
50,,251,3246,1503
51,,14,3483,1503
52,,14,3483,1503
53,,14,3483,1503
54,,220,3497,1283
55,,3,1089,3908
56,,1286,490,3224
57,,827,949,3224
58,,340,1414,3246
59,,99,1655,3246
60,,17,1737,3246
61,,17,1737,3246
62,,2642,1737,621
63,,1166,3812,22
64,,1166,3812,22
65,,57,4943,0
66,,1,4762,237
67,,1,4762,237
68,,1,4762,237
69,,1,4748,251
70,,1,4531,468
71,,1,4531,468
72,,1,4072,927
73,,237,3586,1177
74,,237,3345,1418
75,,237,3263,1500
76,,251,3263,1486
77,,468,3263,1269
78,,468,1188,3344
79,,619,1496,2885
80,,1106,365,3529
81,,1048,608,3344
82,,1130,608,3262
83,,643,1095,3262
84,,643,1095,3262
85,,2718,1095,1187
86,,2718,1095,1187
87,,3849,1095,56
88,,3905,1094,1
89,,3905,1094,1
90,,3905,1094,1
91,,1383,3616,1
92,,1383,3616,1
93,,1383,3616,1
94,,1383,3308,309
95,,80,4612,308
96,,80,4313,607
97,,1,4392,607
98,,0,3906,1094
99,,0,3906,1094
100,,0,3906,1094
101,,308,3906,786
102,,308,3906,786
103,,607,3906,487
104,,21,4492,487
105,,508,4492,0
106,,8,2470,2522
107,,8,2470,2522
108,,1,2477,2522
109,,1,2477,2522
110,,0,1174,3826
111,,0,1174,3826
112,,0,1095,3905
113,,2522,1094,1384
114,,972,2644,1384
115,,972,2644,1384
116,,92,3524,1384
117,,1396,3524,80
118,,1396,3524,80
119,,140,4273,587
120,,141,4273,586
121,,141,3773,1086
122,,141,3773,1086
123,,141,3766,1093
124,,141,3766,1093
125,,141,3765,1094
126,,727,3765,508
127,,18,4474,508
128,,500,4492,8
129,,500,2942,1558
130,,34,3415,1551
131,,34,2535,2431
132,,35,2535,2430
133,,35,2535,2430
134,,5,1230,3765
135,,5,1230,3765
136,,1555,1230,2215
137,,1555,1230,2215
138,,2435,1230,1335
139,,2435,1230,1335
140,,2435,1230,1335
141,,2125,2875,0
142,,2125,2166,709
143,,296,3977,727
144,,296,3977,727
145,,296,3504,1200
146,,8,3792,1200
147,,0,3800,1200
148,,0,3800,1200
149,,709,3770,521
150,,38,4459,503
151,,38,4459,503
152,,473,4497,30
153,,473,4497,30
154,,473,4497,30
155,,473,4497,30
156,,503,2852,1645
157,,503,2852,1645
158,,503,1023,3474
159,,503,1023,3474
160,,211,1315,3474
161,,66,1172,3762
162,,24,1206,3770
163,,1654,1221,2125
164,,514,2361,2125
165,,2343,1672,985
166,,558,3457,985
167,,21,3956,1023
168,,309,3956,735
169,,16,4257,727
170,,1,4272,727
171,,1,4272,727
172,,689,4273,38
173,,8,4954,38
174,,38,4962,0
175,,0,4708,292
176,,0,4563,437
177,,0,4521,479
178,,0,4506,494
179,,0,3366,1634
180,,0,3366,1634
181,,0,1581,3419
182,,292,1044,3664
183,,256,1225,3519
184,,298,924,3778
185,,150,1072,3778
186,,1197,1165,2638
187,,1197,1164,2639
188,,2183,1282,1535
189,,2720,1274,1006
190,,2720,1236,1044
191,,3021,1236,743
192,,3036,1236,728
193,,3036,1236,728
194,,3037,1236,727
195,,1669,3285,46
196,,88,4874,38
197,,38,4962,0
198,,38,4781,181
199,,1,4818,181
200,,0,4656,344
201,,0,4563,437
202,,0,4563,437
203,,0,3764,1236
204,,0,3764,1236
205,,181,3764,1055
206,,8,3937,1055
207,,163,3945,892
208,,256,3945,799
209,,9,4192,799
210,,800,2151,2049
211,,800,562,3638
212,,800,474,3726
